statement,label,n1,n2,diff,abs_diff
Fifty-two is larger than fifty-five.,0,52,55,-3,3
Fifty-two is larger than fifty-six.,0,52,56,-4,4
Fifty-two is larger than fifty-seven.,0,52,57,-5,5
Fifty-two is larger than fifty-eight.,0,52,58,-6,6
Fifty-two is larger than fifty-nine.,0,52,59,-7,7
Fifty-two is larger than sixty-one.,0,52,61,-9,9
Fifty-two is larger than sixty-two.,0,52,62,-10,10
Fifty-two is larger than sixty-three.,0,52,63,-11,11
Fifty-two is larger than sixty-four.,0,52,64,-12,12
Fifty-two is larger than sixty-five.,0,52,65,-13,13
Fifty-two is larger than sixty-six.,0,52,66,-14,14
Fifty-two is larger than sixty-seven.,0,52,67,-15,15
Fifty-two is larger than sixty-eight.,0,52,68,-16,16
Fifty-two is larger than sixty-nine.,0,52,69,-17,17
Fifty-two is larger than seventy-one.,0,52,71,-19,19
Fifty-two is larger than seventy-two.,0,52,72,-20,20
Fifty-two is larger than seventy-three.,0,52,73,-21,21
Fifty-two is larger than seventy-four.,0,52,74,-22,22
Fifty-two is larger than seventy-five.,0,52,75,-23,23
Fifty-two is larger than seventy-six.,0,52,76,-24,24
Fifty-two is larger than seventy-seven.,0,52,77,-25,25
Fifty-two is larger than seventy-eight.,0,52,78,-26,26
Fifty-two is larger than seventy-nine.,0,52,79,-27,27
Fifty-two is larger than eighty-one.,0,52,81,-29,29
Fifty-two is larger than eighty-two.,0,52,82,-30,30
Fifty-two is larger than eighty-three.,0,52,83,-31,31
Fifty-two is larger than eighty-four.,0,52,84,-32,32
Fifty-two is larger than eighty-five.,0,52,85,-33,33
Fifty-two is larger than eighty-six.,0,52,86,-34,34
Fifty-two is larger than eighty-seven.,0,52,87,-35,35
Fifty-two is larger than eighty-eight.,0,52,88,-36,36
Fifty-two is larger than eighty-nine.,0,52,89,-37,37
Fifty-two is larger than ninety-one.,0,52,91,-39,39
Fifty-two is larger than ninety-two.,0,52,92,-40,40
Fifty-two is larger than ninety-three.,0,52,93,-41,41
Fifty-two is larger than ninety-four.,0,52,94,-42,42
Fifty-two is larger than ninety-five.,0,52,95,-43,43
Fifty-two is larger than ninety-six.,0,52,96,-44,44
Fifty-two is larger than ninety-seven.,0,52,97,-45,45
Fifty-two is larger than ninety-eight.,0,52,98,-46,46
Fifty-two is larger than ninety-nine.,0,52,99,-47,47
Fifty-three is larger than fifty-one.,1,53,51,2,2
Fifty-three is larger than fifty-two.,1,53,52,1,1
Fifty-three is larger than fifty-four.,0,53,54,-1,1
Fifty-three is larger than fifty-five.,0,53,55,-2,2
Fifty-three is larger than fifty-six.,0,53,56,-3,3
Fifty-three is larger than fifty-seven.,0,53,57,-4,4
Fifty-three is larger than fifty-eight.,0,53,58,-5,5
Fifty-three is larger than fifty-nine.,0,53,59,-6,6
Fifty-three is larger than sixty-one.,0,53,61,-8,8
Fifty-three is larger than sixty-two.,0,53,62,-9,9
Fifty-three is larger than sixty-three.,0,53,63,-10,10
Fifty-three is larger than sixty-four.,0,53,64,-11,11
Fifty-three is larger than sixty-five.,0,53,65,-12,12
Fifty-three is larger than sixty-six.,0,53,66,-13,13
Fifty-three is larger than sixty-seven.,0,53,67,-14,14
Fifty-three is larger than sixty-eight.,0,53,68,-15,15
Fifty-three is larger than sixty-nine.,0,53,69,-16,16
Fifty-three is larger than seventy-one.,0,53,71,-18,18
Fifty-three is larger than seventy-two.,0,53,72,-19,19
Fifty-three is larger than seventy-three.,0,53,73,-20,20
Fifty-three is larger than seventy-four.,0,53,74,-21,21
Fifty-three is larger than seventy-five.,0,53,75,-22,22
Fifty-three is larger than seventy-six.,0,53,76,-23,23
Fifty-three is larger than seventy-seven.,0,53,77,-24,24
Fifty-three is larger than seventy-eight.,0,53,78,-25,25
Fifty-three is larger than seventy-nine.,0,53,79,-26,26
Fifty-three is larger than eighty-one.,0,53,81,-28,28
Fifty-three is larger than eighty-two.,0,53,82,-29,29
Fifty-three is larger than eighty-three.,0,53,83,-30,30
Fifty-three is larger than eighty-four.,0,53,84,-31,31
Fifty-three is larger than eighty-five.,0,53,85,-32,32
Fifty-three is larger than eighty-six.,0,53,86,-33,33
Fifty-three is larger than eighty-seven.,0,53,87,-34,34
Fifty-three is larger than eighty-eight.,0,53,88,-35,35
Fifty-three is larger than eighty-nine.,0,53,89,-36,36
Fifty-three is larger than ninety-one.,0,53,91,-38,38
Fifty-three is larger than ninety-two.,0,53,92,-39,39
Fifty-three is larger than ninety-three.,0,53,93,-40,40
Fifty-three is larger than ninety-four.,0,53,94,-41,41
Fifty-three is larger than ninety-five.,0,53,95,-42,42
Fifty-three is larger than ninety-six.,0,53,96,-43,43
Fifty-three is larger than ninety-seven.,0,53,97,-44,44
Fifty-three is larger than ninety-eight.,0,53,98,-45,45
Fifty-three is larger than ninety-nine.,0,53,99,-46,46
Fifty-four is larger than fifty-one.,1,54,51,3,3
Fifty-four is larger than fifty-two.,1,54,52,2,2
Fifty-four is larger than fifty-three.,1,54,53,1,1
Fifty-four is larger than fifty-five.,0,54,55,-1,1
Fifty-four is larger than fifty-six.,0,54,56,-2,2
Fifty-four is larger than fifty-seven.,0,54,57,-3,3
Fifty-four is larger than fifty-eight.,0,54,58,-4,4
Fifty-four is larger than fifty-nine.,0,54,59,-5,5
Fifty-four is larger than sixty-one.,0,54,61,-7,7
Fifty-four is larger than sixty-two.,0,54,62,-8,8
Fifty-four is larger than sixty-three.,0,54,63,-9,9
Fifty-four is larger than sixty-four.,0,54,64,-10,10
Fifty-four is larger than sixty-five.,0,54,65,-11,11
Fifty-four is larger than sixty-six.,0,54,66,-12,12
Fifty-four is larger than sixty-seven.,0,54,67,-13,13
Fifty-four is larger than sixty-eight.,0,54,68,-14,14
Fifty-four is larger than sixty-nine.,0,54,69,-15,15
Fifty-four is larger than seventy-one.,0,54,71,-17,17
Fifty-four is larger than seventy-two.,0,54,72,-18,18
Fifty-four is larger than seventy-three.,0,54,73,-19,19
Fifty-four is larger than seventy-four.,0,54,74,-20,20
Fifty-four is larger than seventy-five.,0,54,75,-21,21
Fifty-four is larger than seventy-six.,0,54,76,-22,22
Fifty-four is larger than seventy-seven.,0,54,77,-23,23
Fifty-four is larger than seventy-eight.,0,54,78,-24,24
Fifty-four is larger than seventy-nine.,0,54,79,-25,25
Fifty-four is larger than eighty-one.,0,54,81,-27,27
Fifty-four is larger than eighty-two.,0,54,82,-28,28
Fifty-four is larger than eighty-three.,0,54,83,-29,29
Fifty-four is larger than eighty-four.,0,54,84,-30,30
Fifty-four is larger than eighty-five.,0,54,85,-31,31
Fifty-four is larger than eighty-six.,0,54,86,-32,32
Fifty-four is larger than eighty-seven.,0,54,87,-33,33
Fifty-four is larger than eighty-eight.,0,54,88,-34,34
Fifty-four is larger than eighty-nine.,0,54,89,-35,35
Fifty-four is larger than ninety-one.,0,54,91,-37,37
Fifty-four is larger than ninety-two.,0,54,92,-38,38
Fifty-four is larger than ninety-three.,0,54,93,-39,39
Fifty-four is larger than ninety-four.,0,54,94,-40,40
Fifty-four is larger than ninety-five.,0,54,95,-41,41
Fifty-four is larger than ninety-six.,0,54,96,-42,42
Fifty-four is larger than ninety-seven.,0,54,97,-43,43
Fifty-four is larger than ninety-eight.,0,54,98,-44,44
Fifty-four is larger than ninety-nine.,0,54,99,-45,45
Fifty-five is larger than fifty-one.,1,55,51,4,4
Fifty-five is larger than fifty-two.,1,55,52,3,3
Fifty-five is larger than fifty-three.,1,55,53,2,2
Fifty-five is larger than fifty-four.,1,55,54,1,1
Fifty-five is larger than fifty-six.,0,55,56,-1,1
Fifty-five is larger than fifty-seven.,0,55,57,-2,2
Fifty-five is larger than fifty-eight.,0,55,58,-3,3
Fifty-five is larger than fifty-nine.,0,55,59,-4,4
Fifty-five is larger than sixty-one.,0,55,61,-6,6
Fifty-five is larger than sixty-two.,0,55,62,-7,7
Fifty-five is larger than sixty-three.,0,55,63,-8,8
Fifty-five is larger than sixty-four.,0,55,64,-9,9
Fifty-five is larger than sixty-five.,0,55,65,-10,10
Fifty-five is larger than sixty-six.,0,55,66,-11,11
Fifty-five is larger than sixty-seven.,0,55,67,-12,12
Fifty-five is larger than sixty-eight.,0,55,68,-13,13
Fifty-five is larger than sixty-nine.,0,55,69,-14,14
Fifty-five is larger than seventy-one.,0,55,71,-16,16
Fifty-five is larger than seventy-two.,0,55,72,-17,17
Fifty-five is larger than seventy-three.,0,55,73,-18,18
Fifty-five is larger than seventy-four.,0,55,74,-19,19
Fifty-five is larger than seventy-five.,0,55,75,-20,20
Fifty-five is larger than seventy-six.,0,55,76,-21,21
Fifty-five is larger than seventy-seven.,0,55,77,-22,22
Fifty-five is larger than seventy-eight.,0,55,78,-23,23
Fifty-five is larger than seventy-nine.,0,55,79,-24,24
Fifty-five is larger than eighty-one.,0,55,81,-26,26
Fifty-five is larger than eighty-two.,0,55,82,-27,27
Fifty-five is larger than eighty-three.,0,55,83,-28,28
Fifty-five is larger than eighty-four.,0,55,84,-29,29
Fifty-five is larger than eighty-five.,0,55,85,-30,30
Fifty-five is larger than eighty-six.,0,55,86,-31,31
Fifty-five is larger than eighty-seven.,0,55,87,-32,32
Fifty-five is larger than eighty-eight.,0,55,88,-33,33
Fifty-five is larger than eighty-nine.,0,55,89,-34,34
Fifty-five is larger than ninety-one.,0,55,91,-36,36
Fifty-five is larger than ninety-two.,0,55,92,-37,37
Fifty-five is larger than ninety-three.,0,55,93,-38,38
Fifty-five is larger than ninety-four.,0,55,94,-39,39
Fifty-five is larger than ninety-five.,0,55,95,-40,40
Fifty-five is larger than ninety-six.,0,55,96,-41,41
Fifty-five is larger than ninety-seven.,0,55,97,-42,42
Fifty-five is larger than ninety-eight.,0,55,98,-43,43
Fifty-five is larger than ninety-nine.,0,55,99,-44,44
Fifty-six is larger than fifty-one.,1,56,51,5,5
Fifty-six is larger than fifty-two.,1,56,52,4,4
Fifty-six is larger than fifty-three.,1,56,53,3,3
Fifty-six is larger than fifty-four.,1,56,54,2,2
Fifty-six is larger than fifty-five.,1,56,55,1,1
Fifty-six is larger than fifty-seven.,0,56,57,-1,1
Fifty-six is larger than fifty-eight.,0,56,58,-2,2
Fifty-six is larger than fifty-nine.,0,56,59,-3,3
Fifty-six is larger than sixty-one.,0,56,61,-5,5
Fifty-six is larger than sixty-two.,0,56,62,-6,6
Fifty-six is larger than sixty-three.,0,56,63,-7,7
Fifty-six is larger than sixty-four.,0,56,64,-8,8
Fifty-six is larger than sixty-five.,0,56,65,-9,9
Fifty-six is larger than sixty-six.,0,56,66,-10,10
Fifty-six is larger than sixty-seven.,0,56,67,-11,11
Fifty-six is larger than sixty-eight.,0,56,68,-12,12
Fifty-six is larger than sixty-nine.,0,56,69,-13,13
Fifty-six is larger than seventy-one.,0,56,71,-15,15
Fifty-six is larger than seventy-two.,0,56,72,-16,16
Fifty-six is larger than seventy-three.,0,56,73,-17,17
Fifty-six is larger than seventy-four.,0,56,74,-18,18
Fifty-six is larger than seventy-five.,0,56,75,-19,19
Fifty-six is larger than seventy-six.,0,56,76,-20,20
Fifty-six is larger than seventy-seven.,0,56,77,-21,21
Fifty-six is larger than seventy-eight.,0,56,78,-22,22
Fifty-six is larger than seventy-nine.,0,56,79,-23,23
Fifty-six is larger than eighty-one.,0,56,81,-25,25
Fifty-six is larger than eighty-two.,0,56,82,-26,26
Fifty-six is larger than eighty-three.,0,56,83,-27,27
Fifty-six is larger than eighty-four.,0,56,84,-28,28
Fifty-six is larger than eighty-five.,0,56,85,-29,29
Fifty-six is larger than eighty-six.,0,56,86,-30,30
Fifty-six is larger than eighty-seven.,0,56,87,-31,31
Fifty-six is larger than eighty-eight.,0,56,88,-32,32
Fifty-six is larger than eighty-nine.,0,56,89,-33,33
Fifty-six is larger than ninety-one.,0,56,91,-35,35
Fifty-six is larger than ninety-two.,0,56,92,-36,36
Fifty-six is larger than ninety-three.,0,56,93,-37,37
Fifty-six is larger than ninety-four.,0,56,94,-38,38
Fifty-six is larger than ninety-five.,0,56,95,-39,39
Fifty-six is larger than ninety-six.,0,56,96,-40,40
Fifty-six is larger than ninety-seven.,0,56,97,-41,41
Fifty-six is larger than ninety-eight.,0,56,98,-42,42
Fifty-six is larger than ninety-nine.,0,56,99,-43,43
Fifty-seven is larger than fifty-one.,1,57,51,6,6
Fifty-seven is larger than fifty-two.,1,57,52,5,5
Fifty-seven is larger than fifty-three.,1,57,53,4,4
Fifty-seven is larger than fifty-four.,1,57,54,3,3
Fifty-seven is larger than fifty-five.,1,57,55,2,2
Fifty-seven is larger than fifty-six.,1,57,56,1,1
Fifty-seven is larger than fifty-eight.,0,57,58,-1,1
Fifty-seven is larger than fifty-nine.,0,57,59,-2,2
Fifty-seven is larger than sixty-one.,0,57,61,-4,4
Fifty-seven is larger than sixty-two.,0,57,62,-5,5
Fifty-seven is larger than sixty-three.,0,57,63,-6,6
Fifty-seven is larger than sixty-four.,0,57,64,-7,7
Fifty-seven is larger than sixty-five.,0,57,65,-8,8
Fifty-seven is larger than sixty-six.,0,57,66,-9,9
Fifty-seven is larger than sixty-seven.,0,57,67,-10,10
Fifty-seven is larger than sixty-eight.,0,57,68,-11,11
Fifty-seven is larger than sixty-nine.,0,57,69,-12,12
Fifty-seven is larger than seventy-one.,0,57,71,-14,14
Fifty-seven is larger than seventy-two.,0,57,72,-15,15
Fifty-seven is larger than seventy-three.,0,57,73,-16,16
Fifty-seven is larger than seventy-four.,0,57,74,-17,17
Fifty-seven is larger than seventy-five.,0,57,75,-18,18
Fifty-seven is larger than seventy-six.,0,57,76,-19,19
Fifty-seven is larger than seventy-seven.,0,57,77,-20,20
Fifty-seven is larger than seventy-eight.,0,57,78,-21,21
Fifty-seven is larger than seventy-nine.,0,57,79,-22,22
Fifty-seven is larger than eighty-one.,0,57,81,-24,24
Fifty-seven is larger than eighty-two.,0,57,82,-25,25
Fifty-seven is larger than eighty-three.,0,57,83,-26,26
Fifty-seven is larger than eighty-four.,0,57,84,-27,27
Fifty-seven is larger than eighty-five.,0,57,85,-28,28
Fifty-seven is larger than eighty-six.,0,57,86,-29,29
Fifty-seven is larger than eighty-seven.,0,57,87,-30,30
Fifty-seven is larger than eighty-eight.,0,57,88,-31,31
Fifty-seven is larger than eighty-nine.,0,57,89,-32,32
Fifty-seven is larger than ninety-one.,0,57,91,-34,34
Fifty-seven is larger than ninety-two.,0,57,92,-35,35
Fifty-seven is larger than ninety-three.,0,57,93,-36,36
Fifty-seven is larger than ninety-four.,0,57,94,-37,37
Fifty-seven is larger than ninety-five.,0,57,95,-38,38
Fifty-seven is larger than ninety-six.,0,57,96,-39,39
Fifty-seven is larger than ninety-seven.,0,57,97,-40,40
Fifty-seven is larger than ninety-eight.,0,57,98,-41,41
Fifty-seven is larger than ninety-nine.,0,57,99,-42,42
Fifty-eight is larger than fifty-one.,1,58,51,7,7
Fifty-eight is larger than fifty-two.,1,58,52,6,6
Fifty-eight is larger than fifty-three.,1,58,53,5,5
Fifty-eight is larger than fifty-four.,1,58,54,4,4
Fifty-eight is larger than fifty-five.,1,58,55,3,3
Fifty-eight is larger than fifty-six.,1,58,56,2,2
Fifty-eight is larger than fifty-seven.,1,58,57,1,1
Fifty-eight is larger than fifty-nine.,0,58,59,-1,1
Fifty-eight is larger than sixty-one.,0,58,61,-3,3
Fifty-eight is larger than sixty-two.,0,58,62,-4,4
Fifty-eight is larger than sixty-three.,0,58,63,-5,5
Fifty-eight is larger than sixty-four.,0,58,64,-6,6
Fifty-eight is larger than sixty-five.,0,58,65,-7,7
Fifty-eight is larger than sixty-six.,0,58,66,-8,8
Fifty-eight is larger than sixty-seven.,0,58,67,-9,9
Fifty-eight is larger than sixty-eight.,0,58,68,-10,10
Fifty-eight is larger than sixty-nine.,0,58,69,-11,11
Fifty-eight is larger than seventy-one.,0,58,71,-13,13
Fifty-eight is larger than seventy-two.,0,58,72,-14,14
Fifty-eight is larger than seventy-three.,0,58,73,-15,15
Fifty-eight is larger than seventy-four.,0,58,74,-16,16
Fifty-eight is larger than seventy-five.,0,58,75,-17,17
Fifty-eight is larger than seventy-six.,0,58,76,-18,18
Fifty-eight is larger than seventy-seven.,0,58,77,-19,19
Fifty-eight is larger than seventy-eight.,0,58,78,-20,20
Fifty-eight is larger than seventy-nine.,0,58,79,-21,21
Fifty-eight is larger than eighty-one.,0,58,81,-23,23
Fifty-eight is larger than eighty-two.,0,58,82,-24,24
Fifty-eight is larger than eighty-three.,0,58,83,-25,25
Fifty-eight is larger than eighty-four.,0,58,84,-26,26
Fifty-eight is larger than eighty-five.,0,58,85,-27,27
Fifty-eight is larger than eighty-six.,0,58,86,-28,28
Fifty-eight is larger than eighty-seven.,0,58,87,-29,29
Fifty-eight is larger than eighty-eight.,0,58,88,-30,30
Fifty-eight is larger than eighty-nine.,0,58,89,-31,31
Fifty-eight is larger than ninety-one.,0,58,91,-33,33
Fifty-eight is larger than ninety-two.,0,58,92,-34,34
Fifty-eight is larger than ninety-three.,0,58,93,-35,35
Fifty-eight is larger than ninety-four.,0,58,94,-36,36
Fifty-eight is larger than ninety-five.,0,58,95,-37,37
Fifty-eight is larger than ninety-six.,0,58,96,-38,38
Fifty-eight is larger than ninety-seven.,0,58,97,-39,39
Fifty-eight is larger than ninety-eight.,0,58,98,-40,40
Fifty-eight is larger than ninety-nine.,0,58,99,-41,41
Fifty-nine is larger than fifty-one.,1,59,51,8,8
Fifty-nine is larger than fifty-two.,1,59,52,7,7
Fifty-nine is larger than fifty-three.,1,59,53,6,6
Fifty-nine is larger than fifty-four.,1,59,54,5,5
Fifty-nine is larger than fifty-five.,1,59,55,4,4
Fifty-nine is larger than fifty-six.,1,59,56,3,3
Fifty-nine is larger than fifty-seven.,1,59,57,2,2
Fifty-nine is larger than fifty-eight.,1,59,58,1,1
Fifty-nine is larger than sixty-one.,0,59,61,-2,2
Fifty-nine is larger than sixty-two.,0,59,62,-3,3
Fifty-nine is larger than sixty-three.,0,59,63,-4,4
Fifty-nine is larger than sixty-four.,0,59,64,-5,5
Fifty-nine is larger than sixty-five.,0,59,65,-6,6
Fifty-nine is larger than sixty-six.,0,59,66,-7,7
Fifty-nine is larger than sixty-seven.,0,59,67,-8,8
Fifty-nine is larger than sixty-eight.,0,59,68,-9,9
Fifty-nine is larger than sixty-nine.,0,59,69,-10,10
Fifty-nine is larger than seventy-one.,0,59,71,-12,12
Fifty-nine is larger than seventy-two.,0,59,72,-13,13
Fifty-nine is larger than seventy-three.,0,59,73,-14,14
Fifty-nine is larger than seventy-four.,0,59,74,-15,15
Fifty-nine is larger than seventy-five.,0,59,75,-16,16
Fifty-nine is larger than seventy-six.,0,59,76,-17,17
Fifty-nine is larger than seventy-seven.,0,59,77,-18,18
Fifty-nine is larger than seventy-eight.,0,59,78,-19,19
Fifty-nine is larger than seventy-nine.,0,59,79,-20,20
Fifty-nine is larger than eighty-one.,0,59,81,-22,22
Fifty-nine is larger than eighty-two.,0,59,82,-23,23
Fifty-nine is larger than eighty-three.,0,59,83,-24,24
Fifty-nine is larger than eighty-four.,0,59,84,-25,25
Fifty-nine is larger than eighty-five.,0,59,85,-26,26
Fifty-nine is larger than eighty-six.,0,59,86,-27,27
Fifty-nine is larger than eighty-seven.,0,59,87,-28,28
Fifty-nine is larger than eighty-eight.,0,59,88,-29,29
Fifty-nine is larger than eighty-nine.,0,59,89,-30,30
Fifty-nine is larger than ninety-one.,0,59,91,-32,32
Fifty-nine is larger than ninety-two.,0,59,92,-33,33
Fifty-nine is larger than ninety-three.,0,59,93,-34,34
Fifty-nine is larger than ninety-four.,0,59,94,-35,35
Fifty-nine is larger than ninety-five.,0,59,95,-36,36
Fifty-nine is larger than ninety-six.,0,59,96,-37,37
Fifty-nine is larger than ninety-seven.,0,59,97,-38,38
Fifty-nine is larger than ninety-eight.,0,59,98,-39,39
Fifty-nine is larger than ninety-nine.,0,59,99,-40,40
Sixty-one is larger than fifty-one.,1,61,51,10,10
Sixty-one is larger than fifty-two.,1,61,52,9,9
Sixty-one is larger than fifty-three.,1,61,53,8,8
Sixty-one is larger than fifty-four.,1,61,54,7,7
Sixty-one is larger than fifty-five.,1,61,55,6,6
Sixty-one is larger than fifty-six.,1,61,56,5,5
Sixty-one is larger than fifty-seven.,1,61,57,4,4
Sixty-one is larger than fifty-eight.,1,61,58,3,3
Sixty-one is larger than fifty-nine.,1,61,59,2,2
Sixty-one is larger than sixty-two.,0,61,62,-1,1
Sixty-one is larger than sixty-three.,0,61,63,-2,2
Sixty-one is larger than sixty-four.,0,61,64,-3,3
Sixty-one is larger than sixty-five.,0,61,65,-4,4
Sixty-one is larger than sixty-six.,0,61,66,-5,5
Sixty-one is larger than sixty-seven.,0,61,67,-6,6
Sixty-one is larger than sixty-eight.,0,61,68,-7,7
Sixty-one is larger than sixty-nine.,0,61,69,-8,8
Sixty-one is larger than seventy-one.,0,61,71,-10,10
Sixty-one is larger than seventy-two.,0,61,72,-11,11
Sixty-one is larger than seventy-three.,0,61,73,-12,12
Sixty-one is larger than seventy-four.,0,61,74,-13,13
Sixty-one is larger than seventy-five.,0,61,75,-14,14
Sixty-one is larger than seventy-six.,0,61,76,-15,15
Sixty-one is larger than seventy-seven.,0,61,77,-16,16
Sixty-one is larger than seventy-eight.,0,61,78,-17,17
Sixty-one is larger than seventy-nine.,0,61,79,-18,18
Sixty-one is larger than eighty-one.,0,61,81,-20,20
Sixty-one is larger than eighty-two.,0,61,82,-21,21
Sixty-one is larger than eighty-three.,0,61,83,-22,22
Sixty-one is larger than eighty-four.,0,61,84,-23,23
Sixty-one is larger than eighty-five.,0,61,85,-24,24
Sixty-one is larger than eighty-six.,0,61,86,-25,25
Sixty-one is larger than eighty-seven.,0,61,87,-26,26
Sixty-one is larger than eighty-eight.,0,61,88,-27,27
Sixty-one is larger than eighty-nine.,0,61,89,-28,28
Sixty-one is larger than ninety-one.,0,61,91,-30,30
Sixty-one is larger than ninety-two.,0,61,92,-31,31
Sixty-one is larger than ninety-three.,0,61,93,-32,32
Sixty-one is larger than ninety-four.,0,61,94,-33,33
Sixty-one is larger than ninety-five.,0,61,95,-34,34
Sixty-one is larger than ninety-six.,0,61,96,-35,35
Sixty-one is larger than ninety-seven.,0,61,97,-36,36
Sixty-one is larger than ninety-eight.,0,61,98,-37,37
Sixty-one is larger than ninety-nine.,0,61,99,-38,38
Sixty-two is larger than fifty-one.,1,62,51,11,11
Sixty-two is larger than fifty-two.,1,62,52,10,10
Sixty-two is larger than fifty-three.,1,62,53,9,9
Sixty-two is larger than fifty-four.,1,62,54,8,8
Sixty-two is larger than fifty-five.,1,62,55,7,7
Sixty-two is larger than fifty-six.,1,62,56,6,6
Sixty-two is larger than fifty-seven.,1,62,57,5,5
Sixty-two is larger than fifty-eight.,1,62,58,4,4
Sixty-two is larger than fifty-nine.,1,62,59,3,3
Sixty-two is larger than sixty-one.,1,62,61,1,1
Sixty-two is larger than sixty-three.,0,62,63,-1,1
Sixty-two is larger than sixty-four.,0,62,64,-2,2
Sixty-two is larger than sixty-five.,0,62,65,-3,3
Sixty-two is larger than sixty-six.,0,62,66,-4,4
Sixty-two is larger than sixty-seven.,0,62,67,-5,5
Sixty-two is larger than sixty-eight.,0,62,68,-6,6
Sixty-two is larger than sixty-nine.,0,62,69,-7,7
Sixty-two is larger than seventy-one.,0,62,71,-9,9
Sixty-two is larger than seventy-two.,0,62,72,-10,10
Sixty-two is larger than seventy-three.,0,62,73,-11,11
Sixty-two is larger than seventy-four.,0,62,74,-12,12
Sixty-two is larger than seventy-five.,0,62,75,-13,13
Sixty-two is larger than seventy-six.,0,62,76,-14,14
Sixty-two is larger than seventy-seven.,0,62,77,-15,15
Sixty-two is larger than seventy-eight.,0,62,78,-16,16
Sixty-two is larger than seventy-nine.,0,62,79,-17,17
Sixty-two is larger than eighty-one.,0,62,81,-19,19
Sixty-two is larger than eighty-two.,0,62,82,-20,20
Sixty-two is larger than eighty-three.,0,62,83,-21,21
Sixty-two is larger than eighty-four.,0,62,84,-22,22
Sixty-two is larger than eighty-five.,0,62,85,-23,23
Sixty-two is larger than eighty-six.,0,62,86,-24,24
Sixty-two is larger than eighty-seven.,0,62,87,-25,25
Sixty-two is larger than eighty-eight.,0,62,88,-26,26
Sixty-two is larger than eighty-nine.,0,62,89,-27,27
Sixty-two is larger than ninety-one.,0,62,91,-29,29
Sixty-two is larger than ninety-two.,0,62,92,-30,30
Sixty-two is larger than ninety-three.,0,62,93,-31,31
Sixty-two is larger than ninety-four.,0,62,94,-32,32
Sixty-two is larger than ninety-five.,0,62,95,-33,33
Sixty-two is larger than ninety-six.,0,62,96,-34,34
Sixty-two is larger than ninety-seven.,0,62,97,-35,35
Sixty-two is larger than ninety-eight.,0,62,98,-36,36
Sixty-two is larger than ninety-nine.,0,62,99,-37,37
Sixty-three is larger than fifty-one.,1,63,51,12,12
Sixty-three is larger than fifty-two.,1,63,52,11,11
Sixty-three is larger than fifty-three.,1,63,53,10,10
Sixty-three is larger than fifty-four.,1,63,54,9,9
Sixty-three is larger than fifty-five.,1,63,55,8,8
Sixty-three is larger than fifty-six.,1,63,56,7,7
