statement,label,statement1,label1,city1,country1,correct_country1,statement2,label2,city2,country2,correct_country2
It is the case both that the city of Goeteborg is in Sweden and that the city of Daqing is in China.,1,The city of Goeteborg is in Sweden.,1,Goeteborg,Sweden,Sweden,The city of Daqing is in China.,1,Daqing,China,China
It is the case both that the city of Ahvaz is in Iran and that the city of Ouagadougou is in Burkina Faso.,1,The city of Ahvaz is in Iran.,1,Ahvaz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Ouagadougou is in Burkina Faso.,1,Ouagadougou,Burkina Faso,Burkina Faso
It is the case both that the city of Batam is in Indonesia and that the city of Subang Jaya is in Malaysia.,1,The city of Batam is in Indonesia.,1,Batam,Indonesia,Indonesia,The city of Subang Jaya is in Malaysia.,1,Subang Jaya,Malaysia,Malaysia
It is the case both that the city of Zhuzhou is in China and that the city of Sendai is in Japan.,1,The city of Zhuzhou is in China.,1,Zhuzhou,China,China,The city of Sendai is in Japan.,1,Sendai,Japan,Japan
It is the case both that the city of Lodz is in Poland and that the city of Kahriz is in Iran.,1,The city of Lodz is in Poland.,1,Lodz,Poland,Poland,The city of Kahriz is in Iran.,1,Kahriz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Huainan is in China and that the city of Maiduguri is in Nigeria.,1,The city of Huainan is in China.,1,Huainan,China,China,The city of Maiduguri is in Nigeria.,1,Maiduguri,Nigeria,Nigeria
It is the case both that the city of Shaoxing is in China and that the city of Tirunelveli is in India.,1,The city of Shaoxing is in China.,1,Shaoxing,China,China,The city of Tirunelveli is in India.,1,Tirunelveli,India,India
It is the case both that the city of Chongqing is in China and that the city of Cotonou is in Benin.,1,The city of Chongqing is in China.,1,Chongqing,China,China,The city of Cotonou is in Benin.,1,Cotonou,Benin,Benin
It is the case both that the city of Ibague is in Colombia and that the city of Kakamega is in Kenya.,1,The city of Ibague is in Colombia.,1,Ibague,Colombia,Colombia,The city of Kakamega is in Kenya.,1,Kakamega,Kenya,Kenya
It is the case both that the city of Bien Hoa is in Vietnam and that the city of Zhabei is in China.,1,The city of Bien Hoa is in Vietnam.,1,Bien Hoa,Viet Nam,Viet Nam,The city of Zhabei is in China.,1,Zhabei,China,China
It is the case both that the city of Seongnam-si is in South Korea and that the city of Ulsan is in South Korea.,1,The city of Seongnam-si is in South Korea.,1,Seongnam-si,"Korea, Republic of","Korea, Republic of",The city of Ulsan is in South Korea.,1,Ulsan,"Korea, Republic of","Korea, Republic of"
It is the case both that the city of Hebi is in China and that the city of Cheongju-si is in South Korea.,1,The city of Hebi is in China.,1,Hebi,China,China,The city of Cheongju-si is in South Korea.,1,Cheongju-si,"Korea, Republic of","Korea, Republic of"
It is the case both that the city of Erode is in India and that the city of Herat is in Afghanistan.,1,The city of Erode is in India.,1,Erode,India,India,The city of Herat is in Afghanistan.,1,Herat,Afghanistan,Afghanistan
It is the case both that the city of Koeln is in Germany and that the city of Dammam is in Saudi Arabia.,1,The city of Koeln is in Germany.,1,Koeln,Germany,Germany,The city of Dammam is in Saudi Arabia.,1,Dammam,Saudi Arabia,Saudi Arabia
It is the case both that the city of Fushun is in China and that the city of Comilla is in Bangladesh.,1,The city of Fushun is in China.,1,Fushun,China,China,The city of Comilla is in Bangladesh.,1,Comilla,Bangladesh,Bangladesh
It is the case both that the city of Mersin is in Turkey and that the city of Luzhou is in China.,1,The city of Mersin is in Turkey.,1,Mersin,Turkey,Turkey,The city of Luzhou is in China.,1,Luzhou,China,China
It is the case both that the city of Guankou is in China and that the city of Xiangtan is in China.,1,The city of Guankou is in China.,1,Guankou,China,China,The city of Xiangtan is in China.,1,Xiangtan,China,China
It is the case both that the city of Pune is in India and that the city of Sarajevo is in Bosnia and Herzegovina.,1,The city of Pune is in India.,1,Pune,India,India,The city of Sarajevo is in Bosnia and Herzegovina.,1,Sarajevo,Bosnia and Herzegovina,Bosnia and Herzegovina
It is the case both that the city of Ouagadougou is in Burkina Faso and that the city of Santiago de los Caballeros is in the Dominican Republic.,1,The city of Ouagadougou is in Burkina Faso.,1,Ouagadougou,Burkina Faso,Burkina Faso,The city of Santiago de los Caballeros is in the Dominican Republic.,1,Santiago de los Caballeros,Dominican Republic,Dominican Republic
It is the case both that the city of Tyumen is in Russia and that the city of Quebec is in Canada.,1,The city of Tyumen is in Russia.,1,Tyumen,Russian Federation,Russian Federation,The city of Quebec is in Canada.,1,Quebec,Canada,Canada
It is the case both that the city of Novokuznetsk is in Russia and that the city of Weinan is in China.,1,The city of Novokuznetsk is in Russia.,1,Novokuznetsk,Russian Federation,Russian Federation,The city of Weinan is in China.,1,Weinan,China,China
It is the case both that the city of Hegang is in China and that the city of Ahvaz is in Iran.,1,The city of Hegang is in China.,1,Hegang,China,China,The city of Ahvaz is in Iran.,1,Ahvaz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Winnipeg is in Canada and that the city of Stockholm is in Sweden.,1,The city of Winnipeg is in Canada.,1,Winnipeg,Canada,Canada,The city of Stockholm is in Sweden.,1,Stockholm,Sweden,Sweden
It is the case both that the city of Cotonou is in Benin and that the city of Jiujiang is in China.,1,The city of Cotonou is in Benin.,1,Cotonou,Benin,Benin,The city of Jiujiang is in China.,1,Jiujiang,China,China
It is the case both that the city of Warri is in Nigeria and that the city of Mandalay is in Myanmar.,1,The city of Warri is in Nigeria.,1,Warri,Nigeria,Nigeria,The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar
It is the case both that the city of Marseille is in France and that the city of E'zhou is in China.,1,The city of Marseille is in France.,1,Marseille,France,France,The city of E'zhou is in China.,1,E'zhou,China,China
It is the case both that the city of Kalininskiy is in Russia and that the city of Curitiba is in Brazil.,1,The city of Kalininskiy is in Russia.,1,Kalininskiy,Russian Federation,Russian Federation,The city of Curitiba is in Brazil.,1,Curitiba,Brazil,Brazil
It is the case both that the city of Nay Pyi Taw is in Myanmar and that the city of Hezhou is in China.,1,The city of Nay Pyi Taw is in Myanmar.,1,Nay Pyi Taw,Myanmar,Myanmar,The city of Hezhou is in China.,1,Hezhou,China,China
It is the case both that the city of Bhiwandi is in India and that the city of Kano is in Nigeria.,1,The city of Bhiwandi is in India.,1,Bhiwandi,India,India,The city of Kano is in Nigeria.,1,Kano,Nigeria,Nigeria
It is the case both that the city of Amritsar is in India and that the city of Neijiang is in China.,1,The city of Amritsar is in India.,1,Amritsar,India,India,The city of Neijiang is in China.,1,Neijiang,China,China
It is the case both that the city of Sangli is in India and that the city of Kigali is in Rwanda.,1,The city of Sangli is in India.,1,Sangli,India,India,The city of Kigali is in Rwanda.,1,Kigali,Rwanda,Rwanda
It is the case both that the city of Tianshui is in China and that the city of Port-au-Prince is in Haiti.,1,The city of Tianshui is in China.,1,Tianshui,China,China,The city of Port-au-Prince is in Haiti.,1,Port-au-Prince,Haiti,Haiti
It is the case both that the city of Anqing is in China and that the city of Cuttack is in India.,1,The city of Anqing is in China.,1,Anqing,China,China,The city of Cuttack is in India.,1,Cuttack,India,India
It is the case both that the city of Fortaleza is in Brazil and that the city of Xingtai is in China.,1,The city of Fortaleza is in Brazil.,1,Fortaleza,Brazil,Brazil,The city of Xingtai is in China.,1,Xingtai,China,China
It is the case both that the city of Abobo is in Côte d'Ivoire and that the city of Kleinzschocher is in Germany.,1,The city of Abobo is in Côte d'Ivoire.,1,Abobo,Côte d'Ivoire,Côte d'Ivoire,The city of Kleinzschocher is in Germany.,1,Kleinzschocher,Germany,Germany
It is the case both that the city of Chaozhou is in China and that the city of Panzhihua is in China.,1,The city of Chaozhou is in China.,1,Chaozhou,China,China,The city of Panzhihua is in China.,1,Panzhihua,China,China
It is the case both that the city of Shah Alam is in Malaysia and that the city of Aleppo is in Syria.,1,The city of Shah Alam is in Malaysia.,1,Shah Alam,Malaysia,Malaysia,The city of Aleppo is in Syria.,1,Aleppo,Syrian Arab Republic,Syrian Arab Republic
It is the case both that the city of Jabalpur is in India and that the city of Chenzhou is in China.,1,The city of Jabalpur is in India.,1,Jabalpur,India,India,The city of Chenzhou is in China.,1,Chenzhou,China,China
It is the case both that the city of Krasnoyarsk is in Russia and that the city of Homyel' is in Belarus.,1,The city of Krasnoyarsk is in Russia.,1,Krasnoyarsk,Russian Federation,Russian Federation,The city of Homyel' is in Belarus.,1,Homyel',Belarus,Belarus
It is the case both that the city of Daqing is in China and that the city of Rio de Janeiro is in Brazil.,1,The city of Daqing is in China.,1,Daqing,China,China,The city of Rio de Janeiro is in Brazil.,1,Rio de Janeiro,Brazil,Brazil
It is the case both that the city of Jabalpur is in India and that the city of Kermanshah is in Iran.,1,The city of Jabalpur is in India.,1,Jabalpur,India,India,The city of Kermanshah is in Iran.,1,Kermanshah,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case both that the city of Antalya is in Turkey and that the city of Recife is in Brazil.,1,The city of Antalya is in Turkey.,1,Antalya,Turkey,Turkey,The city of Recife is in Brazil.,1,Recife,Brazil,Brazil
It is the case both that the city of Tebessa is in Algeria and that the city of Wanzhou is in China.,1,The city of Tebessa is in Algeria.,1,Tebessa,Algeria,Algeria,The city of Wanzhou is in China.,1,Wanzhou,China,China
It is the case both that the city of Handan is in China and that the city of Al Mahallah al Kubra is in Egypt.,1,The city of Handan is in China.,1,Handan,China,China,The city of Al Mahallah al Kubra is in Egypt.,1,Al Mahallah al Kubra,Egypt,Egypt
It is the case both that the city of Konya is in Turkey and that the city of Nanning is in China.,1,The city of Konya is in Turkey.,1,Konya,Turkey,Turkey,The city of Nanning is in China.,1,Nanning,China,China
It is the case both that the city of Tucson is in the United States and that the city of Sarajevo is in Bosnia and Herzegovina.,1,The city of Tucson is in the United States.,1,Tucson,United States,United States,The city of Sarajevo is in Bosnia and Herzegovina.,1,Sarajevo,Bosnia and Herzegovina,Bosnia and Herzegovina
It is the case both that the city of Bogor is in Indonesia and that the city of Tashkent is in Uzbekistan.,1,The city of Bogor is in Indonesia.,1,Bogor,Indonesia,Indonesia,The city of Tashkent is in Uzbekistan.,1,Tashkent,Uzbekistan,Uzbekistan
It is the case both that the city of Yerevan is in Armenia and that the city of Pietermaritzburg is in South Africa.,1,The city of Yerevan is in Armenia.,1,Yerevan,Armenia,Armenia,The city of Pietermaritzburg is in South Africa.,1,Pietermaritzburg,South Africa,South Africa
It is the case both that the city of Harbin is in China and that the city of Tegucigalpa is in Honduras.,1,The city of Harbin is in China.,1,Harbin,China,China,The city of Tegucigalpa is in Honduras.,1,Tegucigalpa,Honduras,Honduras
It is the case both that the city of Xuchang is in China and that the city of Rizhao is in China.,1,The city of Xuchang is in China.,1,Xuchang,China,China,The city of Rizhao is in China.,1,Rizhao,China,China
It is the case both that the city of Yibin is in China and that the city of Jos is in Nigeria.,1,The city of Yibin is in China.,1,Yibin,China,China,The city of Jos is in Nigeria.,1,Jos,Nigeria,Nigeria
It is the case both that the city of Shantou is in China and that the city of Meizhou is in China.,1,The city of Shantou is in China.,1,Shantou,China,China,The city of Meizhou is in China.,1,Meizhou,China,China
It is the case both that the city of Zhangjiakou is in China and that the city of Culiacan is in Mexico.,1,The city of Zhangjiakou is in China.,1,Zhangjiakou,China,China,The city of Culiacan is in Mexico.,1,Culiacan,Mexico,Mexico
It is the case both that the city of Fuxin is in China and that the city of Sangli is in India.,1,The city of Fuxin is in China.,1,Fuxin,China,China,The city of Sangli is in India.,1,Sangli,India,India
It is the case both that the city of Lusaka is in Zambia and that the city of Soweto is in South Africa.,1,The city of Lusaka is in Zambia.,1,Lusaka,Zambia,Zambia,The city of Soweto is in South Africa.,1,Soweto,South Africa,South Africa
It is the case both that the city of Osaka is in Japan and that the city of Prayagraj is in India.,1,The city of Osaka is in Japan.,1,Osaka,Japan,Japan,The city of Prayagraj is in India.,1,Prayagraj,India,India
It is the case both that the city of Brasilia is in Brazil and that the city of Winnipeg is in Canada.,1,The city of Brasilia is in Brazil.,1,Brasilia,Brazil,Brazil,The city of Winnipeg is in Canada.,1,Winnipeg,Canada,Canada
It is the case both that the city of Nyala is in Sudan and that the city of Khabarovsk is in Russia.,1,The city of Nyala is in Sudan.,1,Nyala,"Sudan, The Republic of","Sudan, The Republic of",The city of Khabarovsk is in Russia.,1,Khabarovsk,Russian Federation,Russian Federation
It is the case both that the city of Ajmer is in India and that the city of Sharjah is in the United Arab Emirates.,1,The city of Ajmer is in India.,1,Ajmer,India,India,The city of Sharjah is in the United Arab Emirates.,1,Sharjah,United Arab Emirates,United Arab Emirates
It is the case both that the city of Rangpur is in Bangladesh and that the city of Ma'anshan is in China.,1,The city of Rangpur is in Bangladesh.,1,Rangpur,Bangladesh,Bangladesh,The city of Ma'anshan is in China.,1,Ma'anshan,China,China
It is the case both that the city of Izhevsk is in Russia and that the city of Nova Iguacu is in Brazil.,1,The city of Izhevsk is in Russia.,1,Izhevsk,Russian Federation,Russian Federation,The city of Nova Iguacu is in Brazil.,1,Nova Iguacu,Brazil,Brazil
It is the case both that the city of Irkutsk is in Russia and that the city of Khulna is in Bangladesh.,1,The city of Irkutsk is in Russia.,1,Irkutsk,Russian Federation,Russian Federation,The city of Khulna is in Bangladesh.,1,Khulna,Bangladesh,Bangladesh
It is the case both that the city of Tirunelveli is in India and that the city of Hamhung is in North Korea.,1,The city of Tirunelveli is in India.,1,Tirunelveli,India,India,The city of Hamhung is in North Korea.,1,Hamhung,"Korea, Dem. People's Rep. of","Korea, Dem. People's Rep. of"
It is the case both that the city of Bloemfontein is in South Africa and that the city of Sapporo is in Japan.,1,The city of Bloemfontein is in South Africa.,1,Bloemfontein,South Africa,South Africa,The city of Sapporo is in Japan.,1,Sapporo,Japan,Japan
It is the case both that the city of Makati City is in the Philippines and that the city of Mandalay is in Myanmar.,1,The city of Makati City is in the Philippines.,1,Makati City,Philippines,Philippines,The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar
It is the case both that the city of Frankfurt am Main is in Germany and that the city of Goeteborg is in Sweden.,1,The city of Frankfurt am Main is in Germany.,1,Frankfurt am Main,Germany,Germany,The city of Goeteborg is in Sweden.,1,Goeteborg,Sweden,Sweden
It is the case both that the city of Rangpur is in Bangladesh and that the city of Ulan Bator is in Mongolia.,1,The city of Rangpur is in Bangladesh.,1,Rangpur,Bangladesh,Bangladesh,The city of Ulan Bator is in Mongolia.,1,Ulan Bator,Mongolia,Mongolia
It is the case both that the city of Nanning is in China and that the city of Ha'il is in Saudi Arabia.,1,The city of Nanning is in China.,1,Nanning,China,China,The city of Ha'il is in Saudi Arabia.,1,Ha'il,Saudi Arabia,Saudi Arabia
It is the case both that the city of Xiaogan is in China and that the city of Ziyang is in China.,1,The city of Xiaogan is in China.,1,Xiaogan,China,China,The city of Ziyang is in China.,1,Ziyang,China,China
It is the case both that the city of Matola is in Mozambique and that the city of Zaria is in Nigeria.,1,The city of Matola is in Mozambique.,1,Matola,Mozambique,Mozambique,The city of Zaria is in Nigeria.,1,Zaria,Nigeria,Nigeria
It is the case both that the city of Frankfurt am Main is in Germany and that the city of Panshan is in China.,1,The city of Frankfurt am Main is in Germany.,1,Frankfurt am Main,Germany,Germany,The city of Panshan is in China.,1,Panshan,China,China
It is the case both that the city of Mysore is in India and that the city of Antalya is in Turkey.,1,The city of Mysore is in India.,1,Mysore,India,India,The city of Antalya is in Turkey.,1,Antalya,Turkey,Turkey
