statement,label,statement1,label1,city1,country1,correct_country1,statement2,label2,city2,country2,correct_country2
It is the case either that the city of Maoming is in China or that the city of Wanning is in China.,1,The city of Maoming is in China.,1,Maoming,China,China,The city of Wanning is in China.,1,Wanning,China,China
It is the case either that the city of Borivli is in India or that the city of Pingliang is in China.,1,The city of Borivli is in India.,1,Borivli,India,India,The city of Pingliang is in China.,1,Pingliang,China,China
It is the case either that the city of Madurai is in India or that the city of Zhaoqing is in China.,1,The city of Madurai is in India.,1,Madurai,India,India,The city of Zhaoqing is in China.,1,Zhaoqing,China,China
It is the case either that the city of Kumasi is in Ghana or that the city of Munich is in Germany.,1,The city of Kumasi is in Ghana.,1,Kumasi,Ghana,Ghana,The city of Munich is in Germany.,1,Munich,Germany,Germany
It is the case either that the city of Cuttack is in India or that the city of Suqian is in China.,1,The city of Cuttack is in India.,1,Cuttack,India,India,The city of Suqian is in China.,1,Suqian,China,China
It is the case either that the city of Amravati is in India or that the city of Manaus is in Brazil.,1,The city of Amravati is in India.,1,Amravati,India,India,The city of Manaus is in Brazil.,1,Manaus,Brazil,Brazil
It is the case either that the city of Bengbu is in China or that the city of Abu Ghurayb is in Iraq.,1,The city of Bengbu is in China.,1,Bengbu,China,China,The city of Abu Ghurayb is in Iraq.,1,Abu Ghurayb,Iraq,Iraq
It is the case either that the city of Ashgabat is in Turkmenistan or that the city of Leipzig is in Germany.,1,The city of Ashgabat is in Turkmenistan.,1,Ashgabat,Turkmenistan,Turkmenistan,The city of Leipzig is in Germany.,1,Leipzig,Germany,Germany
It is the case either that the city of Brasilia is in Brazil or that the city of Zhangjiakou is in China.,1,The city of Brasilia is in Brazil.,1,Brasilia,Brazil,Brazil,The city of Zhangjiakou is in China.,1,Zhangjiakou,China,China
It is the case either that the city of Tolyatti is in Russia or that the city of Florianopolis is in Brazil.,1,The city of Tolyatti is in Russia.,1,Tolyatti,Russian Federation,Russian Federation,The city of Florianopolis is in Brazil.,1,Florianopolis,Brazil,Brazil
It is the case either that the city of Beirut is in Lebanon or that the city of Ta'if is in Saudi Arabia.,1,The city of Beirut is in Lebanon.,1,Beirut,Lebanon,Lebanon,The city of Ta'if is in Saudi Arabia.,1,Ta'if,Saudi Arabia,Saudi Arabia
It is the case either that the city of Kirkuk is in Iraq or that the city of Ulhasnagar is in India.,1,The city of Kirkuk is in Iraq.,1,Kirkuk,Iraq,Iraq,The city of Ulhasnagar is in India.,1,Ulhasnagar,India,India
It is the case either that the city of Kinshasa is in the Democratic Republic of the Congo or that the city of Aracaju is in Brazil.,1,The city of Kinshasa is in the Democratic Republic of the Congo.,1,Kinshasa,"Congo, Democratic Republic of the","Congo, Democratic Republic of the",The city of Aracaju is in Brazil.,1,Aracaju,Brazil,Brazil
It is the case either that the city of Yerevan is in Armenia or that the city of Tianshui is in China.,1,The city of Yerevan is in Armenia.,1,Yerevan,Armenia,Armenia,The city of Tianshui is in China.,1,Tianshui,China,China
It is the case either that the city of Ankara is in Turkey or that the city of Jaipur is in India.,1,The city of Ankara is in Turkey.,1,Ankara,Turkey,Turkey,The city of Jaipur is in India.,1,Jaipur,India,India
It is the case either that the city of Quezon City is in the Philippines or that the city of Reynosa is in Mexico.,1,The city of Quezon City is in the Philippines.,1,Quezon City,Philippines,Philippines,The city of Reynosa is in Mexico.,1,Reynosa,Mexico,Mexico
It is the case either that the city of Nashik is in India or that the city of Zaozhuang is in China.,1,The city of Nashik is in India.,1,Nashik,India,India,The city of Zaozhuang is in China.,1,Zaozhuang,China,China
It is the case either that the city of Qingdao is in China or that the city of Neijiang is in China.,1,The city of Qingdao is in China.,1,Qingdao,China,China,The city of Neijiang is in China.,1,Neijiang,China,China
It is the case either that the city of Ashgabat is in Turkmenistan or that the city of Haiphong is in Vietnam.,1,The city of Ashgabat is in Turkmenistan.,1,Ashgabat,Turkmenistan,Turkmenistan,The city of Haiphong is in Vietnam.,1,Haiphong,Viet Nam,Viet Nam
It is the case either that the city of Basrah is in Iraq or that the city of Siping is in China.,1,The city of Basrah is in Iraq.,1,Basrah,Iraq,Iraq,The city of Siping is in China.,1,Siping,China,China
It is the case either that the city of Kobe is in Japan or that the city of Izmir is in Turkey.,1,The city of Kobe is in Japan.,1,Kobe,Japan,Japan,The city of Izmir is in Turkey.,1,Izmir,Turkey,Turkey
It is the case either that the city of Vilnius is in Lithuania or that the city of Muzaffarabad is in Pakistan.,1,The city of Vilnius is in Lithuania.,1,Vilnius,Lithuania,Lithuania,The city of Muzaffarabad is in Pakistan.,1,Muzaffarabad,Pakistan,Pakistan
It is the case either that the city of Oyo is in Nigeria or that the city of Uberlandia is in Brazil.,1,The city of Oyo is in Nigeria.,1,Oyo,Nigeria,Nigeria,The city of Uberlandia is in Brazil.,1,Uberlandia,Brazil,Brazil
It is the case either that the city of Taicang is in China or that the city of Zhangye is in China.,1,The city of Taicang is in China.,1,Taicang,China,China,The city of Zhangye is in China.,1,Zhangye,China,China
It is the case either that the city of Mumbai is in India or that the city of Shiraz is in Iran.,1,The city of Mumbai is in India.,1,Mumbai,India,India,The city of Shiraz is in Iran.,1,Shiraz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case either that the city of Kunming is in China or that the city of Abu Ghurayb is in Iraq.,1,The city of Kunming is in China.,1,Kunming,China,China,The city of Abu Ghurayb is in Iraq.,1,Abu Ghurayb,Iraq,Iraq
It is the case either that the city of Erzurum is in Turkey or that the city of Zhengzhou is in China.,1,The city of Erzurum is in Turkey.,1,Erzurum,Turkey,Turkey,The city of Zhengzhou is in China.,1,Zhengzhou,China,China
It is the case either that the city of Subang Jaya is in Malaysia or that the city of Qingdao is in China.,1,The city of Subang Jaya is in Malaysia.,1,Subang Jaya,Malaysia,Malaysia,The city of Qingdao is in China.,1,Qingdao,China,China
It is the case either that the city of Huaibei is in China or that the city of Niamey is in Niger.,1,The city of Huaibei is in China.,1,Huaibei,China,China,The city of Niamey is in Niger.,1,Niamey,Niger,Niger
It is the case either that the city of Lu'an is in China or that the city of Quebec is in Canada.,1,The city of Lu'an is in China.,1,Lu'an,China,China,The city of Quebec is in Canada.,1,Quebec,Canada,Canada
It is the case either that the city of Aracaju is in Brazil or that the city of Frankfurt am Main is in Germany.,1,The city of Aracaju is in Brazil.,1,Aracaju,Brazil,Brazil,The city of Frankfurt am Main is in Germany.,1,Frankfurt am Main,Germany,Germany
It is the case either that the city of Leipzig is in Germany or that the city of Bandar Lampung is in Indonesia.,1,The city of Leipzig is in Germany.,1,Leipzig,Germany,Germany,The city of Bandar Lampung is in Indonesia.,1,Bandar Lampung,Indonesia,Indonesia
It is the case either that the city of Ilorin is in Nigeria or that the city of Nagoya is in Japan.,1,The city of Ilorin is in Nigeria.,1,Ilorin,Nigeria,Nigeria,The city of Nagoya is in Japan.,1,Nagoya,Japan,Japan
It is the case either that the city of Ciudad Nezahualcoyotl is in Mexico or that the city of Ahvaz is in Iran.,1,The city of Ciudad Nezahualcoyotl is in Mexico.,1,Ciudad Nezahualcoyotl,Mexico,Mexico,The city of Ahvaz is in Iran.,1,Ahvaz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case either that the city of Jingmen is in China or that the city of Oslo is in Norway.,1,The city of Jingmen is in China.,1,Jingmen,China,China,The city of Oslo is in Norway.,1,Oslo,Norway,Norway
It is the case either that the city of Al Mawsil al Jadidah is in Iraq or that the city of Quzhou is in China.,1,The city of Al Mawsil al Jadidah is in Iraq.,1,Al Mawsil al Jadidah,Iraq,Iraq,The city of Quzhou is in China.,1,Quzhou,China,China
It is the case either that the city of Campos dos Goytacazes is in Brazil or that the city of Jiaxing is in China.,1,The city of Campos dos Goytacazes is in Brazil.,1,Campos dos Goytacazes,Brazil,Brazil,The city of Jiaxing is in China.,1,Jiaxing,China,China
It is the case either that the city of Saitama is in Japan or that the city of Agadir is in Morocco.,1,The city of Saitama is in Japan.,1,Saitama,Japan,Japan,The city of Agadir is in Morocco.,1,Agadir,Morocco,Morocco
It is the case either that the city of Belo Horizonte is in Brazil or that the city of Kanpur is in India.,1,The city of Belo Horizonte is in Brazil.,1,Belo Horizonte,Brazil,Brazil,The city of Kanpur is in India.,1,Kanpur,India,India
It is the case either that the city of Al Mahallah al Kubra is in Egypt or that the city of Tianshui is in China.,1,The city of Al Mahallah al Kubra is in Egypt.,1,Al Mahallah al Kubra,Egypt,Egypt,The city of Tianshui is in China.,1,Tianshui,China,China
It is the case either that the city of Jiangmen is in China or that the city of Enugu is in Nigeria.,1,The city of Jiangmen is in China.,1,Jiangmen,China,China,The city of Enugu is in Nigeria.,1,Enugu,Nigeria,Nigeria
It is the case either that the city of Puente Alto is in Chile or that the city of Zhabei is in China.,1,The city of Puente Alto is in Chile.,1,Puente Alto,Chile,Chile,The city of Zhabei is in China.,1,Zhabei,China,China
It is the case either that the city of Binzhou is in China or that the city of Tabriz is in Iran.,1,The city of Binzhou is in China.,1,Binzhou,China,China,The city of Tabriz is in Iran.,1,Tabriz,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case either that the city of Warangal is in India or that the city of Bokaro is in India.,1,The city of Warangal is in India.,1,Warangal,India,India,The city of Bokaro is in India.,1,Bokaro,India,India
It is the case either that the city of Kermanshah is in Iran or that the city of Salta is in Argentina.,1,The city of Kermanshah is in Iran.,1,Kermanshah,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Salta is in Argentina.,1,Salta,Argentina,Argentina
It is the case either that the city of Foshan is in China or that the city of Niigata is in Japan.,1,The city of Foshan is in China.,1,Foshan,China,China,The city of Niigata is in Japan.,1,Niigata,Japan,Japan
It is the case either that the city of Matola is in Mozambique or that the city of Suqian is in China.,1,The city of Matola is in Mozambique.,1,Matola,Mozambique,Mozambique,The city of Suqian is in China.,1,Suqian,China,China
It is the case either that the city of Victoria de Durango is in Mexico or that the city of Mudanjiang is in China.,1,The city of Victoria de Durango is in Mexico.,1,Victoria de Durango,Mexico,Mexico,The city of Mudanjiang is in China.,1,Mudanjiang,China,China
It is the case either that the city of Luohe is in China or that the city of Changshu is in China.,1,The city of Luohe is in China.,1,Luohe,China,China,The city of Changshu is in China.,1,Changshu,China,China
It is the case either that the city of Al Mahallah al Kubra is in Egypt or that the city of Guntur is in India.,1,The city of Al Mahallah al Kubra is in Egypt.,1,Al Mahallah al Kubra,Egypt,Egypt,The city of Guntur is in India.,1,Guntur,India,India
It is the case either that the city of Shihezi is in China or that the city of Gwalior is in India.,1,The city of Shihezi is in China.,1,Shihezi,China,China,The city of Gwalior is in India.,1,Gwalior,India,India
It is the case either that the city of Tolyatti is in Russia or that the city of Kolhapur is in India.,1,The city of Tolyatti is in Russia.,1,Tolyatti,Russian Federation,Russian Federation,The city of Kolhapur is in India.,1,Kolhapur,India,India
It is the case either that the city of Bucheon-si is in South Korea or that the city of Chaozhou is in China.,1,The city of Bucheon-si is in South Korea.,1,Bucheon-si,"Korea, Republic of","Korea, Republic of",The city of Chaozhou is in China.,1,Chaozhou,China,China
It is the case either that the city of Ashgabat is in Turkmenistan or that the city of Bengbu is in China.,1,The city of Ashgabat is in Turkmenistan.,1,Ashgabat,Turkmenistan,Turkmenistan,The city of Bengbu is in China.,1,Bengbu,China,China
It is the case either that the city of Cucuta is in Colombia or that the city of Sargodha is in Pakistan.,1,The city of Cucuta is in Colombia.,1,Cucuta,Colombia,Colombia,The city of Sargodha is in Pakistan.,1,Sargodha,Pakistan,Pakistan
It is the case either that the city of Guarulhos is in Brazil or that the city of Bhubaneswar is in India.,1,The city of Guarulhos is in Brazil.,1,Guarulhos,Brazil,Brazil,The city of Bhubaneswar is in India.,1,Bhubaneswar,India,India
It is the case either that the city of South Tangerang is in Indonesia or that the city of Oyo is in Nigeria.,1,The city of South Tangerang is in Indonesia.,1,South Tangerang,Indonesia,Indonesia,The city of Oyo is in Nigeria.,1,Oyo,Nigeria,Nigeria
It is the case either that the city of Nouakchott is in Mauritania or that the city of Indianapolis is in the United States.,1,The city of Nouakchott is in Mauritania.,1,Nouakchott,Mauritania,Mauritania,The city of Indianapolis is in the United States.,1,Indianapolis,United States,United States
It is the case either that the city of Kanayannur is in India or that the city of Sanmenxia is in China.,1,The city of Kanayannur is in India.,1,Kanayannur,India,India,The city of Sanmenxia is in China.,1,Sanmenxia,China,China
It is the case either that the city of Oyo is in Nigeria or that the city of Dhanbad is in India.,1,The city of Oyo is in Nigeria.,1,Oyo,Nigeria,Nigeria,The city of Dhanbad is in India.,1,Dhanbad,India,India
It is the case either that the city of Aracaju is in Brazil or that the city of Lusaka is in Zambia.,1,The city of Aracaju is in Brazil.,1,Aracaju,Brazil,Brazil,The city of Lusaka is in Zambia.,1,Lusaka,Zambia,Zambia
It is the case either that the city of Theni is in India or that the city of Ciudad Guayana is in Venezuela.,1,The city of Theni is in India.,1,Theni,India,India,The city of Ciudad Guayana is in Venezuela.,1,Ciudad Guayana,"Venezuela, Bolivarian Rep. of","Venezuela, Bolivarian Rep. of"
It is the case either that the city of Vijayawada is in India or that the city of Chizhou is in China.,1,The city of Vijayawada is in India.,1,Vijayawada,India,India,The city of Chizhou is in China.,1,Chizhou,China,China
It is the case either that the city of Yibin is in China or that the city of Grosszschocher is in Germany.,1,The city of Yibin is in China.,1,Yibin,China,China,The city of Grosszschocher is in Germany.,1,Grosszschocher,Germany,Germany
It is the case either that the city of Teresina is in Brazil or that the city of Kermanshah is in Iran.,1,The city of Teresina is in Brazil.,1,Teresina,Brazil,Brazil,The city of Kermanshah is in Iran.,1,Kermanshah,"Iran, Islamic Rep. of","Iran, Islamic Rep. of"
It is the case either that the city of Ahmedabad is in India or that the city of Albuquerque is in the United States.,1,The city of Ahmedabad is in India.,1,Ahmedabad,India,India,The city of Albuquerque is in the United States.,1,Albuquerque,United States,United States
It is the case either that the city of Joao Pessoa is in Brazil or that the city of Suwon is in South Korea.,1,The city of Joao Pessoa is in Brazil.,1,Joao Pessoa,Brazil,Brazil,The city of Suwon is in South Korea.,1,Suwon,"Korea, Republic of","Korea, Republic of"
It is the case either that the city of Subang Jaya is in Malaysia or that the city of Dar es Salaam is in Tanzania.,1,The city of Subang Jaya is in Malaysia.,1,Subang Jaya,Malaysia,Malaysia,The city of Dar es Salaam is in Tanzania.,1,Dar es Salaam,"Tanzania, United Republic of","Tanzania, United Republic of"
It is the case either that the city of Ryazan' is in Russia or that the city of Yaounde is in Cameroon.,1,The city of Ryazan' is in Russia.,1,Ryazan',Russian Federation,Russian Federation,The city of Yaounde is in Cameroon.,1,Yaounde,Cameroon,Cameroon
It is the case either that the city of Isfahan is in Iran or that the city of Lanzhou is in China.,1,The city of Isfahan is in Iran.,1,Isfahan,"Iran, Islamic Rep. of","Iran, Islamic Rep. of",The city of Lanzhou is in China.,1,Lanzhou,China,China
It is the case either that the city of Ebute Ikorodu is in Nigeria or that the city of Guwahati is in India.,1,The city of Ebute Ikorodu is in Nigeria.,1,Ebute Ikorodu,Nigeria,Nigeria,The city of Guwahati is in India.,1,Guwahati,India,India
It is the case either that the city of Huainan is in China or that the city of Fukuoka is in Japan.,1,The city of Huainan is in China.,1,Huainan,China,China,The city of Fukuoka is in Japan.,1,Fukuoka,Japan,Japan
It is the case either that the city of Jabalpur is in India or that the city of Goeteborg is in Sweden.,1,The city of Jabalpur is in India.,1,Jabalpur,India,India,The city of Goeteborg is in Sweden.,1,Goeteborg,Sweden,Sweden
It is the case either that the city of Shangqiu is in China or that the city of Cancun is in Mexico.,1,The city of Shangqiu is in China.,1,Shangqiu,China,China,The city of Cancun is in Mexico.,1,Cancun,Mexico,Mexico
It is the case either that the city of Uberlandia is in Brazil or that the city of Kyoto is in Japan.,1,The city of Uberlandia is in Brazil.,1,Uberlandia,Brazil,Brazil,The city of Kyoto is in Japan.,1,Kyoto,Japan,Japan
It is the case either that the city of Cochin is in India or that the city of Pietermaritzburg is in South Africa.,1,The city of Cochin is in India.,1,Cochin,India,India,The city of Pietermaritzburg is in South Africa.,1,Pietermaritzburg,South Africa,South Africa
It is the case either that the city of Meizhou is in China or that the city of Volgograd is in Russia.,1,The city of Meizhou is in China.,1,Meizhou,China,China,The city of Volgograd is in Russia.,1,Volgograd,Russian Federation,Russian Federation
It is the case either that the city of Pietermaritzburg is in South Africa or that the city of Uberlandia is in Brazil.,1,The city of Pietermaritzburg is in South Africa.,1,Pietermaritzburg,South Africa,South Africa,The city of Uberlandia is in Brazil.,1,Uberlandia,Brazil,Brazil
It is the case either that the city of Fort Worth is in the United States or that the city of Aden is in Yemen.,1,The city of Fort Worth is in the United States.,1,Fort Worth,United States,United States,The city of Aden is in Yemen.,1,Aden,Yemen,Yemen
It is the case either that the city of Sao Bernardo do Campo is in Brazil or that the city of Callao is in Peru.,1,The city of Sao Bernardo do Campo is in Brazil.,1,Sao Bernardo do Campo,Brazil,Brazil,The city of Callao is in Peru.,1,Callao,Peru,Peru
It is the case either that the city of Yerevan is in Armenia or that the city of Victoria de Durango is in Mexico.,1,The city of Yerevan is in Armenia.,1,Yerevan,Armenia,Armenia,The city of Victoria de Durango is in Mexico.,1,Victoria de Durango,Mexico,Mexico
It is the case either that the city of Recife is in Brazil or that the city of Kumasi is in Ghana.,1,The city of Recife is in Brazil.,1,Recife,Brazil,Brazil,The city of Kumasi is in Ghana.,1,Kumasi,Ghana,Ghana
It is the case either that the city of Omdurman is in Sudan or that the city of Zagreb is in Croatia.,1,The city of Omdurman is in Sudan.,1,Omdurman,"Sudan, The Republic of","Sudan, The Republic of",The city of Zagreb is in Croatia.,1,Zagreb,Croatia,Croatia
It is the case either that the city of Peshawar is in Pakistan or that the city of Hebi is in China.,1,The city of Peshawar is in Pakistan.,1,Peshawar,Pakistan,Pakistan,The city of Hebi is in China.,1,Hebi,China,China
It is the case either that the city of Leon de los Aldama is in Mexico or that the city of Gujranwala is in Pakistan.,1,The city of Leon de los Aldama is in Mexico.,1,Leon de los Aldama,Mexico,Mexico,The city of Gujranwala is in Pakistan.,1,Gujranwala,Pakistan,Pakistan
It is the case either that the city of Bareilly is in India or that the city of Hegang is in China.,1,The city of Bareilly is in India.,1,Bareilly,India,India,The city of Hegang is in China.,1,Hegang,China,China
It is the case either that the city of Najafgarh is in India or that the city of Bijie is in China.,1,The city of Najafgarh is in India.,1,Najafgarh,India,India,The city of Bijie is in China.,1,Bijie,China,China
It is the case either that the city of Nairobi is in Kenya or that the city of Zhoushan is in China.,1,The city of Nairobi is in Kenya.,1,Nairobi,Kenya,Kenya,The city of Zhoushan is in China.,1,Zhoushan,China,China
It is the case either that the city of Koeln is in Germany or that the city of Matola is in Mozambique.,1,The city of Koeln is in Germany.,1,Koeln,Germany,Germany,The city of Matola is in Mozambique.,1,Matola,Mozambique,Mozambique
It is the case either that the city of Haiphong is in Vietnam or that the city of Brazzaville is in the Republic of the Congo.,1,The city of Haiphong is in Vietnam.,1,Haiphong,Viet Nam,Viet Nam,The city of Brazzaville is in the Republic of the Congo.,1,Brazzaville,Congo,Congo
It is the case either that the city of Handan is in China or that the city of Sanaa is in Yemen.,1,The city of Handan is in China.,1,Handan,China,China,The city of Sanaa is in Yemen.,1,Sanaa,Yemen,Yemen
It is the case either that the city of Guiyang is in China or that the city of Busan is in South Korea.,1,The city of Guiyang is in China.,1,Guiyang,China,China,The city of Busan is in South Korea.,1,Busan,"Korea, Republic of","Korea, Republic of"
It is the case either that the city of Shangluo is in China or that the city of Indore is in India.,1,The city of Shangluo is in China.,1,Shangluo,China,China,The city of Indore is in India.,1,Indore,India,India
It is the case either that the city of Al Fayyum is in Egypt or that the city of Buraydah is in Saudi Arabia.,1,The city of Al Fayyum is in Egypt.,1,Al Fayyum,Egypt,Egypt,The city of Buraydah is in Saudi Arabia.,1,Buraydah,Saudi Arabia,Saudi Arabia
It is the case either that the city of Kigali is in Rwanda or that the city of South Tangerang is in Indonesia.,1,The city of Kigali is in Rwanda.,1,Kigali,Rwanda,Rwanda,The city of South Tangerang is in Indonesia.,1,South Tangerang,Indonesia,Indonesia
It is the case either that the city of Yinchuan is in China or that the city of Caracas is in Venezuela.,1,The city of Yinchuan is in China.,1,Yinchuan,China,China,The city of Caracas is in Venezuela.,1,Caracas,"Venezuela, Bolivarian Rep. of","Venezuela, Bolivarian Rep. of"
It is the case either that the city of Santiago de Cuba is in Cuba or that the city of Mandalay is in Myanmar.,1,The city of Santiago de Cuba is in Cuba.,1,Santiago de Cuba,Cuba,Cuba,The city of Mandalay is in Myanmar.,1,Mandalay,Myanmar,Myanmar
It is the case either that the city of Krakow is in Poland or that the city of Bahawalpur is in Pakistan.,1,The city of Krakow is in Poland.,1,Krakow,Poland,Poland,The city of Bahawalpur is in Pakistan.,1,Bahawalpur,Pakistan,Pakistan
It is the case either that the city of Hengyang is in China or that the city of Omdurman is in Sudan.,1,The city of Hengyang is in China.,1,Hengyang,China,China,The city of Omdurman is in Sudan.,1,Omdurman,"Sudan, The Republic of","Sudan, The Republic of"
It is the case either that the city of Linfen is in China or that the city of Yingkou is in China.,1,The city of Linfen is in China.,1,Linfen,China,China,The city of Yingkou is in China.,1,Yingkou,China,China
It is the case either that the city of Benxi is in China or that the city of Maceio is in Brazil.,1,The city of Benxi is in China.,1,Benxi,China,China,The city of Maceio is in Brazil.,1,Maceio,Brazil,Brazil
It is the case either that the city of Zhengzhou is in China or that the city of Ma'anshan is in China.,1,The city of Zhengzhou is in China.,1,Zhengzhou,China,China,The city of Ma'anshan is in China.,1,Ma'anshan,China,China
It is the case either that the city of Feira de Santana is in Brazil or that the city of Yangquan is in China.,1,The city of Feira de Santana is in Brazil.,1,Feira de Santana,Brazil,Brazil,The city of Yangquan is in China.,1,Yangquan,China,China
It is the case either that the city of Bhiwandi is in India or that the city of Okayama is in Mexico.,1,The city of Bhiwandi is in India.,1,Bhiwandi,India,India,The city of Okayama is in Mexico.,0,Okayama,Mexico,Japan
It is the case either that the city of Zhabei is in China or that the city of Pingdingshan is in Nigeria.,1,The city of Zhabei is in China.,1,Zhabei,China,China,The city of Pingdingshan is in Nigeria.,0,Pingdingshan,Nigeria,China
It is the case either that the city of Shubra al Khaymah is in Egypt or that the city of Libreville is in Pakistan.,1,The city of Shubra al Khaymah is in Egypt.,1,Shubra al Khaymah,Egypt,Egypt,The city of Libreville is in Pakistan.,0,Libreville,Pakistan,Gabon
It is the case either that the city of Sanya is in China or that the city of Recife is in Venezuela.,1,The city of Sanya is in China.,1,Sanya,China,China,The city of Recife is in Venezuela.,0,Recife,"Venezuela, Bolivarian Rep. of",Brazil
