statement,label
The Spanish word 'antes' does not mean 'before'.,0
The Spanish word 'derecho' does not mean 'summer'.,1
The Spanish word 'viejo' does not mean 'old'.,0
The Spanish word 'demasiado' does not mean 'too'.,0
The Spanish word 'mismo' does not mean 'to write'.,1
The Spanish word 'todo' does not mean 'all'.,0
The Spanish word 'usar' does not mean 'to fight'.,1
The Spanish word 'entonces' does not mean 'corner'.,1
The Spanish word 'escribir' does not mean 'to write'.,0
The Spanish word 'largo' does not mean 'history'.,1
The Spanish word 'hacer' does not mean 'neck'.,1
The Spanish word 'cosa' does not mean 'thing'.,0
The Spanish word 'ver' does not mean 'to see'.,0
The Spanish word 'dos' does not mean 'enemy'.,1
The Spanish word 'venir' does not mean 'to know'.,1
The Spanish word 'persona' does not mean 'person'.,0
The Spanish word 'saber' does not mean 'happy'.,1
The Spanish word 'agua' does not mean 'water'.,0
The Spanish word 'primero' does not mean 'first'.,0
The Spanish word 'lado' does not mean 'equal'.,1
The Spanish word 'ahora' does not mean 'now'.,0
The Spanish word 'encontrar' does not mean 'person'.,1
The Spanish word 'cabeza' does not mean 'head'.,0
The Spanish word 'respuesta' does not mean 'bread'.,1
The Spanish word 'escuela' does not mean 'school'.,0
The Spanish word 'crecer' does not mean 'to grow'.,0
The Spanish word 'aprender' does not mean 'light'.,1
The Spanish word 'planta' does not mean 'cloud'.,1
The Spanish word 'sol' does not mean 'sun'.,0
The Spanish word 'cuatro' does not mean 'to imagine'.,1
The Spanish word 'ojo' does not mean 'order'.,1
The Spanish word 'nunca' does not mean 'to hear'.,1
The Spanish word 'ciudad' does not mean 'city'.,0
The Spanish word 'cruzar' does not mean 'pig'.,1
The Spanish word 'granja' does not mean 'woman'.,1
The Spanish word 'historia' does not mean 'office'.,1
The Spanish word 'mar' does not mean 'sea'.,0
The Spanish word 'dibujar' does not mean 'to draw'.,0
The Spanish word 'izquierda' does not mean 'never'.,1
The Spanish word 'tarde' does not mean 'hand'.,1
The Spanish word 'mientras' does not mean 'while'.,0
The Spanish word 'noche' does not mean 'night'.,0
The Spanish word 'vida' does not mean 'life'.,0
The Spanish word 'norte' does not mean 'north'.,0
The Spanish word 'libro' does not mean 'industry'.,1
The Spanish word 'llevar' does not mean 'end'.,1
The Spanish word 'ciencia' does not mean 'to buy'.,1
The Spanish word 'comer' does not mean 'to eat'.,0
The Spanish word 'amigo' does not mean 'friend'.,0
The Spanish word 'escuchar' does not mean 'market'.,1
The Spanish word 'caballo' does not mean 'horse'.,0
The Spanish word 'cara' does not mean 'name'.,1
The Spanish word 'madera' does not mean 'to have'.,1
The Spanish word 'abierto' does not mean 'open'.,0
The Spanish word 'parecer' does not mean 'to seem'.,0
The Spanish word 'blanco' does not mean 'to think'.,1
The Spanish word 'caminar' does not mean 'to walk'.,0
The Spanish word 'ejemplo' does not mean 'example'.,0
The Spanish word 'papel' does not mean 'paper'.,0
The Spanish word 'grupo' does not mean 'group'.,0
The Spanish word 'siempre' does not mean 'month'.,1
The Spanish word 'carta' does not mean 'nothing'.,1
The Spanish word 'coche' does not mean 'car'.,0
The Spanish word 'segundo' does not mean 'hello'.,1
The Spanish word 'suficiente' does not mean 'enough'.,0
The Spanish word 'llano' does not mean 'chair'.,1
The Spanish word 'chica' does not mean 'to eat'.,1
The Spanish word 'joven' does not mean 'hot'.,1
The Spanish word 'listo' does not mean 'ready'.,0
The Spanish word 'rojo' does not mean 'red'.,0
The Spanish word 'lista' does not mean 'list'.,0
The Spanish word 'sentir' does not mean 'to build'.,1
The Spanish word 'pronto' does not mean 'to die'.,1
The Spanish word 'cuerpo' does not mean 'body'.,0
The Spanish word 'perro' does not mean 'dog'.,0
The Spanish word 'familia' does not mean 'family'.,0
The Spanish word 'directo' does not mean 'to eat'.,1
The Spanish word 'medir' does not mean 'to carry'.,1
The Spanish word 'negro' does not mean 'black'.,0
The Spanish word 'corto' does not mean 'letter'.,1
The Spanish word 'clase' does not mean 'class'.,0
The Spanish word 'viento' does not mean 'wind'.,0
The Spanish word 'medio' does not mean 'large'.,1
The Spanish word 'roca' does not mean 'rock'.,0
The Spanish word 'orden' does not mean 'old'.,1
The Spanish word 'fuego' does not mean 'fire'.,0
The Spanish word 'sur' does not mean 'south'.,0
The Spanish word 'problema' does not mean 'problem'.,0
The Spanish word 'pieza' does not mean 'duck'.,1
The Spanish word 'pasar' does not mean 'to pass'.,0
The Spanish word 'rey' does not mean 'king'.,0
The Spanish word 'multiplicar' does not mean 'to multiply'.,0
The Spanish word 'nada' does not mean 'nothing'.,0
The Spanish word 'rueda' does not mean 'sister'.,1
The Spanish word 'fuerza' does not mean 'force'.,0
The Spanish word 'azul' does not mean 'eye'.,1
The Spanish word 'decidir' does not mean 'to give'.,1
The Spanish word 'luna' does not mean 'letter'.,1
The Spanish word 'isla' does not mean 'island'.,0
The Spanish word 'pie' does not mean 'lake'.,1
The Spanish word 'sistema' does not mean 'nature'.,1
The Spanish word 'ocupado' does not mean 'busy'.,0
The Spanish word 'prueba' does not mean 'test'.,0
The Spanish word 'barco' does not mean 'hello'.,1
The Spanish word 'oro' does not mean 'story'.,1
The Spanish word 'seco' does not mean 'book'.,1
The Spanish word 'maravilla' does not mean 'bell'.,1
The Spanish word 'mil' does not mean 'to eat'.,1
The Spanish word 'caliente' does not mean 'iron'.,1
The Spanish word 'calor' does not mean 'dry'.,1
The Spanish word 'pintar' does not mean 'mouth'.,1
The Spanish word 'idioma' does not mean 'moment'.,1
The Spanish word 'potencia' does not mean 'power'.,0
The Spanish word 'volar' does not mean 'to hear'.,1
The Spanish word 'caer' does not mean 'to fall'.,0
The Spanish word 'oscuro' does not mean 'dark'.,0
The Spanish word 'estrella' does not mean 'star'.,0
The Spanish word 'belleza' does not mean 'beauty'.,0
The Spanish word 'semana' does not mean 'face'.,1
The Spanish word 'desarrollar' does not mean 'to develop'.,0
The Spanish word 'libre' does not mean 'free'.,0
The Spanish word 'fuerte' does not mean 'dress'.,1
The Spanish word 'especial' does not mean 'strong'.,1
The Spanish word 'cola' does not mean 'name'.,1
The Spanish word 'espacio' does not mean 'to measure'.,1
The Spanish word 'cinco' does not mean 'five'.,0
The Spanish word 'temprano' does not mean 'early'.,0
The Spanish word 'oeste' does not mean 'moment'.,1
The Spanish word 'suelo' does not mean 'ground'.,0
The Spanish word 'cantar' does not mean 'simple'.,1
The Spanish word 'seis' does not mean 'to find'.,1
The Spanish word 'diez' does not mean 'ten'.,0
The Spanish word 'sencilla' does not mean 'simple'.,0
The Spanish word 'guerra' does not mean 'example'.,1
The Spanish word 'lento' does not mean 'slow'.,0
The Spanish word 'amar' does not mean 'teeth'.,1
The Spanish word 'dinero' does not mean 'mouth'.,1
The Spanish word 'mapa' does not mean 'map'.,0
The Spanish word 'gobernar' does not mean 'to eat'.,1
The Spanish word 'voz' does not mean 'voice'.,0
The Spanish word 'hermano' does not mean 'silver'.,1
The Spanish word 'huevo' does not mean 'egg'.,0
The Spanish word 'creer' does not mean 'to fly'.,1
The Spanish word 'hablar' does not mean 'to speak'.,0
The Spanish word 'hielo' does not mean 'ice'.,0
The Spanish word 'ola' does not mean 'wave'.,0
The Spanish word 'presente' does not mean 'present'.,0
The Spanish word 'brazo' does not mean 'arm'.,0
The Spanish word 'bosque' does not mean 'forest'.,0
The Spanish word 'ventana' does not mean 'half'.,1
The Spanish word 'tienda' does not mean 'insect'.,1
The Spanish word 'verano' does not mean 'to push'.,1
The Spanish word 'tren' does not mean 'train'.,0
The Spanish word 'pierna' does not mean 'leg'.,0
The Spanish word 'cielo' does not mean 'old'.,1
The Spanish word 'invierno' does not mean 'winter'.,0
The Spanish word 'vidrio' does not mean 'to hear'.,1
The Spanish word 'vaca' does not mean 'cow'.,0
The Spanish word 'suave' does not mean 'skin'.,1
The Spanish word 'mes' does not mean 'month'.,0
The Spanish word 'feliz' does not mean 'second'.,1
The Spanish word 'esperanza' does not mean 'hope'.,0
The Spanish word 'flor' does not mean 'market'.,1
The Spanish word 'viaje' does not mean 'system'.,1
The Spanish word 'oficina' does not mean 'direct'.,1
The Spanish word 'recibir' does not mean 'time'.,1
The Spanish word 'boca' does not mean 'mouth'.,0
The Spanish word 'morir' does not mean 'to die'.,0
The Spanish word 'semilla' does not mean 'seed'.,0
The Spanish word 'aceite' does not mean 'oil'.,0
The Spanish word 'sangre' does not mean 'sun'.,1
The Spanish word 'mezclar' does not mean 'to mix'.,0
The Spanish word 'perdido' does not mean 'test'.,1
The Spanish word 'igual' does not mean 'to imagine'.,1
The Spanish word 'elegir' does not mean 'to choose'.,0
The Spanish word 'guardar' does not mean 'to save'.,0
The Spanish word 'matar' does not mean 'bread'.,1
The Spanish word 'hijo' does not mean 'son'.,0
The Spanish word 'lago' does not mean 'month'.,1
The Spanish word 'momento' does not mean 'moment'.,0
The Spanish word 'primavera' does not mean 'wave'.,1
The Spanish word 'diccionario' does not mean 'dictionary'.,0
The Spanish word 'leche' does not mean 'glass'.,1
The Spanish word 'pagar' does not mean 'to pay'.,0
The Spanish word 'edad' does not mean 'clock'.,1
The Spanish word 'vestido' does not mean 'example'.,1
The Spanish word 'nube' does not mean 'to write'.,1
The Spanish word 'piedra' does not mean 'stone'.,0
The Spanish word 'experimento' does not mean 'dark'.,1
The Spanish word 'clave' does not mean 'rose'.,1
The Spanish word 'hierro' does not mean 'iron'.,0
The Spanish word 'veinte' does not mean 'twenty'.,0
The Spanish word 'piel' does not mean 'skin'.,0
The Spanish word 'sonrisa' does not mean 'smile'.,0
The Spanish word 'ocho' does not mean 'too'.,1
The Spanish word 'comprar' does not mean 'dry'.,1
The Spanish word 'empujar' does not mean 'to govern'.,1
The Spanish word 'siete' does not mean 'seven'.,0
The Spanish word 'tercero' does not mean 'third'.,0
The Spanish word 'describir' does not mean 'to die'.,1
The Spanish word 'cocinero' does not mean 'cook'.,0
The Spanish word 'piso' does not mean 'set'.,1
The Spanish word 'resultado' does not mean 'result'.,0
The Spanish word 'quemar' does not mean 'hot'.,1
The Spanish word 'seguro' does not mean 'danger'.,1
The Spanish word 'gato' does not mean 'cat'.,0
The Spanish word 'siglo' does not mean 'large'.,1
The Spanish word 'ley' does not mean 'dog'.,1
The Spanish word 'frase' does not mean 'paper'.,1
The Spanish word 'arena' does not mean 'sand'.,0
The Spanish word 'temperatura' does not mean 'hand'.,1
The Spanish word 'dedo' does not mean 'finger'.,0
The Spanish word 'industria' does not mean 'industry'.,0
The Spanish word 'luchar' does not mean 'heat'.,1
The Spanish word 'silla' does not mean 'neighbor'.,1
The Spanish word 'peligro' does not mean 'danger'.,0
The Spanish word 'fruta' does not mean 'goat'.,1
The Spanish word 'soldado' does not mean 'soldier'.,0
The Spanish word 'proteger' does not mean 'dry'.,1
The Spanish word 'moderno' does not mean 'modern'.,0
The Spanish word 'estudiante' does not mean 'student'.,0
The Spanish word 'esquina' does not mean 'corner'.,0
The Spanish word 'anillo' does not mean 'to love'.,1
The Spanish word 'insecto' does not mean 'then'.,1
The Spanish word 'historia' does not mean 'history'.,0
The Spanish word 'hueso' does not mean 'bone'.,0
The Spanish word 'imaginar' does not mean 'to imagine'.,0
The Spanish word 'mujer' does not mean 'woman'.,0
The Spanish word 'adivinar' does not mean 'war'.,1
The Spanish word 'agudo' does not mean 'sharp'.,0
The Spanish word 'ala' does not mean 'wing'.,0
The Spanish word 'vecino' does not mean 'neighbor'.,0
The Spanish word 'poema' does not mean 'to win'.,1
The Spanish word 'campana' does not mean 'to connect'.,1
The Spanish word 'carne' does not mean 'meat'.,0
The Spanish word 'famoso' does not mean 'to believe'.,1
The Spanish word 'miedo' does not mean 'fear'.,0
The Spanish word 'delgado' does not mean 'thin'.,0
The Spanish word 'reloj' does not mean 'clock'.,0
The Spanish word 'enviar' does not mean 'to send'.,0
The Spanish word 'amarillo' does not mean 'land'.,1
The Spanish word 'rosa' does not mean 'rose'.,0
The Spanish word 'llegar' does not mean 'insect'.,1
The Spanish word 'conectar' does not mean 'to connect'.,0
The Spanish word 'grasa' does not mean 'new'.,1
The Spanish word 'pan' does not mean 'eye'.,1
The Spanish word 'oferta' does not mean 'offer'.,0
The Spanish word 'esclavo' does not mean 'slave'.,0
The Spanish word 'pato' does not mean 'wolf'.,1
The Spanish word 'mercado' does not mean 'market'.,0
The Spanish word 'enemigo' does not mean 'enemy'.,0
The Spanish word 'bebida' does not mean 'train'.,1
The Spanish word 'naturaleza' does not mean 'to buy'.,1
The Spanish word 'dientes' does not mean 'hope'.,1
The Spanish word 'concha' does not mean 'shell'.,0
The Spanish word 'cuello' does not mean 'neck'.,0
The Spanish word 'temporada' does not mean 'insect'.,1
The Spanish word 'plata' does not mean 'silver'.,0
The Spanish word 'rama' does not mean 'back'.,1
The Spanish word 'higo' does not mean 'fig'.,0
The Spanish word 'hermana' does not mean 'sister'.,0
The Spanish word 'guiar' does not mean 'age'.,1
The Spanish word 'manzana' does not mean 'hand'.,1
The Spanish word 'abrigo' does not mean 'coat'.,0
The Spanish word 'tarjeta' does not mean 'bear'.,1
The Spanish word 'ganar' does not mean 'to use'.,1
The Spanish word 'herramienta' does not mean 'tool'.,0
The Spanish word 'olor' does not mean 'smell'.,0
The Spanish word 'valle' does not mean 'face'.,1
The Spanish word 'continuar' does not mean 'coat'.,1
The Spanish word 'vender' does not mean 'to sell'.,0
The Spanish word 'nadar' does not mean 'to swim'.,0
The Spanish word 'opuesta' does not mean 'dress'.,1
The Spanish word 'esposa' does not mean 'wife'.,0
The Spanish word 'hombro' does not mean 'shoulder'.,0
The Spanish word 'nueve' does not mean 'stone'.,1
The Spanish word 'ruido' does not mean 'noise'.,0
The Spanish word 'lanzar' does not mean 'to throw'.,0
The Spanish word 'gris' does not mean 'history'.,1
The Spanish word 'sal' does not mean 'horse'.,1
The Spanish word 'nariz' does not mean 'giraffe'.,1
The Spanish word 'burro' does not mean 'donkey'.,0
The Spanish word 'cabra' does not mean 'money'.,1
The Spanish word 'cordero' does not mean 'fat'.,1
The Spanish word 'caballo' does not mean 'horse'.,0
The Spanish word 'cerdo' does not mean 'wave'.,1
The Spanish word 'oveja' does not mean 'sheep'.,0
The Spanish word 'pato' does not mean 'shoulder'.,1
The Spanish word 'toro' does not mean 'bull'.,0
The Spanish word 'vaca' does not mean 'cow'.,0
The Spanish word 'conejo' does not mean 'rabbit'.,0
The Spanish word 'gato' does not mean 'large'.,1
The Spanish word 'perro' does not mean 'dog'.,0
The Spanish word 'rana' does not mean 'frog'.,0
The Spanish word 'anguila' does not mean 'south'.,1
The Spanish word 'ballena' does not mean 'whale'.,0
The Spanish word 'calamar' does not mean 'squid'.,0
The Spanish word 'pulpo' does not mean 'slow'.,1
The Spanish word 'lobo' does not mean 'leg'.,1
The Spanish word 'oso' does not mean 'bear'.,0
The Spanish word 'zorro' does not mean 'shell'.,1
The Spanish word 'mariposa' does not mean 'rose'.,1
The Spanish word 'tortuga' does not mean 'dry'.,1
The Spanish word 'cebra' does not mean 'to imagine'.,1
The Spanish word 'elefante' does not mean 'spring'.,1
The Spanish word 'jirafa' does not mean 'giraffe'.,0
The Spanish word 'tigre' does not mean 'cow'.,1
The Spanish word 'hola' does not mean 'hello'.,0
The Spanish word 'nuevo' does not mean 'new'.,0
