statement,label,city,country,correct_country,has_alice,has_not,xor
Alice: The city of Hanoi is in Vietnam.,1,Hanoi,Vietnam,Vietnam,True,False,True
Alice: The city of Hanoi is in Poland.,0,Hanoi,Poland,Vietnam,True,False,True
Alice: The city of Xuzhou is in Mexico.,0,Xuzhou,Mexico,China,True,False,True
Alice: The city of Cucuta is in Colombia.,1,Cucuta,Colombia,Colombia,True,False,True
Alice: The city of Cucuta is in India.,0,Cucuta,India,Colombia,True,False,True
Alice: The city of Santo Domingo Oeste is in Zambia.,0,Santo Domingo Oeste,Zambia,the Dominican Republic,True,False,True
Alice: The city of Neijiang is in China.,1,Neijiang,China,China,True,False,True
Alice: The city of Neijiang is in Ghana.,0,Neijiang,Ghana,China,True,False,True
Alice: The city of Yiwu is in India.,0,Yiwu,India,China,True,False,True
Alice: The city of Qiqihar is in China.,1,Qiqihar,China,China,True,False,True
Alice: The city of Qiqihar is in India.,0,Qiqihar,India,China,True,False,True
Alice: The city of Baotou is in China.,1,Baotou,China,China,True,False,True
Alice: The city of Aparecida de Goiania is in Brazil.,1,Aparecida de Goiania,Brazil,Brazil,True,False,True
Alice: The city of Kinshasa is in Brazil.,0,Kinshasa,Brazil,the Democratic Republic of the Congo,True,False,True
Alice: The city of Ciudad Nezahualcoyotl is in Mexico.,1,Ciudad Nezahualcoyotl,Mexico,Mexico,True,False,True
Alice: The city of Ciudad Nezahualcoyotl is in Senegal.,0,Ciudad Nezahualcoyotl,Senegal,Mexico,True,False,True
Alice: The city of Mexicali is in South Africa.,0,Mexicali,South Africa,Mexico,True,False,True
Alice: The city of Ciudad Juarez is in Mexico.,1,Ciudad Juarez,Mexico,Mexico,True,False,True
Alice: The city of Ciudad Juarez is in India.,0,Ciudad Juarez,India,Mexico,True,False,True
Alice: The city of Kampung Baru Subang is in Malaysia.,1,Kampung Baru Subang,Malaysia,Malaysia,True,False,True
Alice: The city of Maputo is in Mozambique.,1,Maputo,Mozambique,Mozambique,True,False,True
Alice: The city of Kumamoto is in Japan.,1,Kumamoto,Japan,Japan,True,False,True
Alice: The city of Kumamoto is in China.,0,Kumamoto,China,Japan,True,False,True
Alice: The city of Vilnius is in Lithuania.,1,Vilnius,Lithuania,Lithuania,True,False,True
Alice: The city of Vilnius is in China.,0,Vilnius,China,Lithuania,True,False,True
Alice: The city of Ranchi is in Venezuela.,0,Ranchi,Venezuela,India,True,False,True
Alice: The city of Jalandhar is in India.,1,Jalandhar,India,India,True,False,True
Alice: The city of Jalandhar is in Iraq.,0,Jalandhar,Iraq,India,True,False,True
Alice: The city of Bhayandar is in China.,0,Bhayandar,China,India,True,False,True
Alice: The city of Bareilly is in India.,1,Bareilly,India,India,True,False,True
Alice: The city of Bareilly is in Mozambique.,0,Bareilly,Mozambique,India,True,False,True
Alice: The city of Santo Domingo Este is in the Dominican Republic.,1,Santo Domingo Este,the Dominican Republic,the Dominican Republic,True,False,True
Alice: The city of Santo Domingo Este is in India.,0,Santo Domingo Este,India,the Dominican Republic,True,False,True
Alice: The city of Al Fayyum is in Egypt.,1,Al Fayyum,Egypt,Egypt,True,False,True
Alice: The city of Rizhao is in Iraq.,0,Rizhao,Iraq,China,True,False,True
"Alice: The city of Mianzhu, Deyang, Sichuan is in China.",1,"Mianzhu, Deyang, Sichuan",China,China,True,False,True
"Alice: The city of Mianzhu, Deyang, Sichuan is in India.",0,"Mianzhu, Deyang, Sichuan",India,China,True,False,True
Alice: The city of Jabalpur is in India.,1,Jabalpur,India,India,True,False,True
Alice: The city of Jabalpur is in Ukraine.,0,Jabalpur,Ukraine,India,True,False,True
Alice: The city of Bilimora is in India.,1,Bilimora,India,India,True,False,True
Alice: The city of Accra is in Ghana.,1,Accra,Ghana,Ghana,True,False,True
Alice: The city of Bogor is in Indonesia.,1,Bogor,Indonesia,Indonesia,True,False,True
Alice: The city of Bogor is in South Korea.,0,Bogor,South Korea,Indonesia,True,False,True
Alice: The city of Nyala is in Sudan.,1,Nyala,Sudan,Sudan,True,False,True
Alice: The city of Eskisehir is in China.,0,Eskisehir,China,Turkey,True,False,True
Alice: The city of Antalya is in Turkey.,1,Antalya,Turkey,Turkey,True,False,True
Alice: The city of Antalya is in Germany.,0,Antalya,Germany,Turkey,True,False,True
Alice: The city of Irkutsk is in Morocco.,0,Irkutsk,Morocco,Russia,True,False,True
Alice: The city of Libreville is in the United States.,0,Libreville,the United States,Gabon,True,False,True
Alice: The city of Santiago de los Caballeros is in the Dominican Republic.,1,Santiago de los Caballeros,the Dominican Republic,the Dominican Republic,True,False,True
Alice: The city of Santiago de los Caballeros is in India.,0,Santiago de los Caballeros,India,the Dominican Republic,True,False,True
Alice: The city of Nashik is in India.,1,Nashik,India,India,True,False,True
Alice: The city of Nashik is in China.,0,Nashik,China,India,True,False,True
Alice: The city of Karol Bagh is in India.,1,Karol Bagh,India,India,True,False,True
Alice: The city of Orumiyeh is in Saudi Arabia.,0,Orumiyeh,Saudi Arabia,Iran,True,False,True
Alice: The city of Zahedan is in Iran.,1,Zahedan,Iran,Iran,True,False,True
Alice: The city of Xuchang is in China.,1,Xuchang,China,China,True,False,True
Alice: The city of Changde is in Mexico.,0,Changde,Mexico,China,True,False,True
Alice: The city of Jilin is in China.,1,Jilin,China,China,True,False,True
Alice: The city of Manaus is in Turkey.,0,Manaus,Turkey,Brazil,True,False,True
Alice: The city of Jaboatao dos Guararapes is in Brazil.,1,Jaboatao dos Guararapes,Brazil,Brazil,True,False,True
Alice: The city of Jaboatao dos Guararapes is in Myanmar.,0,Jaboatao dos Guararapes,Myanmar,Brazil,True,False,True
Alice: The city of Kakamega is in Kenya.,1,Kakamega,Kenya,Kenya,True,False,True
Alice: The city of Kakamega is in Russia.,0,Kakamega,Russia,Kenya,True,False,True
Alice: The city of Agadir is in Bangladesh.,0,Agadir,Bangladesh,Morocco,True,False,True
Alice: The city of Ulan Bator is in Mongolia.,1,Ulan Bator,Mongolia,Mongolia,True,False,True
Alice: The city of Muscat is in Bangladesh.,0,Muscat,Bangladesh,Oman,True,False,True
Alice: The city of Paranaque City is in the Philippines.,1,Paranaque City,the Philippines,the Philippines,True,False,True
Alice: The city of Balikpapan is in Japan.,0,Balikpapan,Japan,Indonesia,True,False,True
Alice: The city of Ulyanovsk is in Russia.,1,Ulyanovsk,Russia,Russia,True,False,True
Alice: The city of Ulyanovsk is in Ukraine.,0,Ulyanovsk,Ukraine,Russia,True,False,True
Alice: The city of Kota Bharu is in Malaysia.,1,Kota Bharu,Malaysia,Malaysia,True,False,True
Alice: The city of Kota Bharu is in Norway.,0,Kota Bharu,Norway,Malaysia,True,False,True
Alice: The city of Sarajevo is in Bosnia and Herzegovina.,1,Sarajevo,Bosnia and Herzegovina,Bosnia and Herzegovina,True,False,True
Alice: The city of Maceio is in China.,0,Maceio,China,Brazil,True,False,True
Alice: The city of Joao Pessoa is in South Africa.,0,Joao Pessoa,South Africa,Brazil,True,False,True
Alice: The city of Zhangye is in China.,1,Zhangye,China,China,True,False,True
Alice: The city of Zhangye is in Venezuela.,0,Zhangye,Venezuela,China,True,False,True
Alice: The city of Xuanzhou is in China.,1,Xuanzhou,China,China,True,False,True
Alice: The city of Wuhan is in China.,1,Wuhan,China,China,True,False,True
Alice: The city of Luancheng is in China.,1,Luancheng,China,China,True,False,True
Alice: The city of Luancheng is in Brazil.,0,Luancheng,Brazil,China,True,False,True
Alice: The city of Liuzhou is in China.,1,Liuzhou,China,China,True,False,True
Alice: The city of Bijie is in China.,1,Bijie,China,China,True,False,True
Alice: The city of Bijie is in Indonesia.,0,Bijie,Indonesia,China,True,False,True
Alice: The city of Zhoushan is in the Philippines.,0,Zhoushan,the Philippines,China,True,False,True
Alice: The city of Hegang is in China.,1,Hegang,China,China,True,False,True
Alice: The city of E'zhou is in China.,1,E'zhou,China,China,True,False,True
Alice: The city of E'zhou is in Malaysia.,0,E'zhou,Malaysia,China,True,False,True
Alice: The city of Bucharest is in Romania.,1,Bucharest,Romania,Romania,True,False,True
Alice: The city of Ansan-si is in South Korea.,1,Ansan-si,South Korea,South Korea,True,False,True
Alice: The city of Ansan-si is in Canada.,0,Ansan-si,Canada,South Korea,True,False,True
Alice: The city of Oyo is in China.,0,Oyo,China,Nigeria,True,False,True
Alice: The city of Kano is in China.,0,Kano,China,Nigeria,True,False,True
Alice: The city of Bahawalpur is in Pakistan.,1,Bahawalpur,Pakistan,Pakistan,True,False,True
Alice: The city of New Kingston is in Jamaica.,1,New Kingston,Jamaica,Jamaica,True,False,True
Alice: The city of Pyongyang is in Argentina.,0,Pyongyang,Argentina,North Korea,True,False,True
Alice: The city of Shymkent is in China.,0,Shymkent,China,Kazakhstan,True,False,True
Alice: The city of Tlalpan is in Egypt.,0,Tlalpan,Egypt,Mexico,True,False,True
Alice: The city of Kemerovo is in India.,0,Kemerovo,India,Russia,True,False,True
Alice: The city of Zaporizhzhya is in South Korea.,0,Zaporizhzhya,South Korea,Ukraine,True,False,True
Alice: The city of Aguascalientes is in Mexico.,1,Aguascalientes,Mexico,Mexico,True,False,True
Alice: The city of Aguascalientes is in China.,0,Aguascalientes,China,Mexico,True,False,True
Alice: The city of Warri is in Nigeria.,1,Warri,Nigeria,Nigeria,True,False,True
Alice: The city of Warri is in China.,0,Warri,China,Nigeria,True,False,True
Alice: The city of Peshawar is in Tanzania.,0,Peshawar,Tanzania,Pakistan,True,False,True
Alice: The city of Kagoshima is in India.,0,Kagoshima,India,Japan,True,False,True
Alice: The city of Hamamatsu is in Russia.,0,Hamamatsu,Russia,Japan,True,False,True
Alice: The city of Cheongju-si is in South Korea.,1,Cheongju-si,South Korea,South Korea,True,False,True
Alice: The city of Ghaziabad is in South Korea.,0,Ghaziabad,South Korea,India,True,False,True
Alice: The city of Cochin is in India.,1,Cochin,India,India,True,False,True
Alice: The city of Ahmedabad is in India.,1,Ahmedabad,India,India,True,False,True
Alice: The city of Sulaymaniyah is in Iraq.,1,Sulaymaniyah,Iraq,Iraq,True,False,True
Alice: The city of Hamadan is in Iran.,1,Hamadan,Iran,Iran,True,False,True
Alice: The city of Hamadan is in Pakistan.,0,Hamadan,Pakistan,Iran,True,False,True
Alice: The city of Stockholm is in Russia.,0,Stockholm,Russia,Sweden,True,False,True
Alice: The city of Siliguri is in China.,0,Siliguri,China,India,True,False,True
Alice: The city of Al Basrah al Qadimah is in Iraq.,1,Al Basrah al Qadimah,Iraq,Iraq,True,False,True
Alice: The city of Krakow is in South Korea.,0,Krakow,South Korea,Poland,True,False,True
Alice: The city of Bandar Lampung is in Indonesia.,1,Bandar Lampung,Indonesia,Indonesia,True,False,True
Alice: The city of Bandar Lampung is in South Africa.,0,Bandar Lampung,South Africa,Indonesia,True,False,True
Alice: The city of Can Tho is in Venezuela.,0,Can Tho,Venezuela,Vietnam,True,False,True
Alice: The city of Bouake is in China.,0,Bouake,China,Côte d'Ivoire,True,False,True
Alice: The city of Abobo is in Côte d'Ivoire.,1,Abobo,Côte d'Ivoire,Côte d'Ivoire,True,False,True
Alice: The city of Abobo is in India.,0,Abobo,India,Côte d'Ivoire,True,False,True
Alice: The city of Shihezi is in China.,1,Shihezi,China,China,True,False,True
Alice: The city of Yunfu is in China.,1,Yunfu,China,China,True,False,True
Alice: The city of Yunfu is in Honduras.,0,Yunfu,Honduras,China,True,False,True
Alice: The city of Xiangtan is in China.,1,Xiangtan,China,China,True,False,True
Alice: The city of Xiangtan is in Brazil.,0,Xiangtan,Brazil,China,True,False,True
Alice: The city of Qionghai is in China.,1,Qionghai,China,China,True,False,True
Alice: The city of Tembisa is in South Africa.,1,Tembisa,South Africa,South Africa,True,False,True
Alice: The city of Tembisa is in the Philippines.,0,Tembisa,the Philippines,South Africa,True,False,True
Alice: The city of Puente Alto is in Chile.,1,Puente Alto,Chile,Chile,True,False,True
Alice: The city of Puente Alto is in China.,0,Puente Alto,China,Chile,True,False,True
Alice: The city of Zhengzhou is in China.,1,Zhengzhou,China,China,True,False,True
Alice: The city of Zhengzhou is in Brazil.,0,Zhengzhou,Brazil,China,True,False,True
Alice: The city of Ya'an is in China.,1,Ya'an,China,China,True,False,True
Alice: The city of Ya'an is in Morocco.,0,Ya'an,Morocco,China,True,False,True
Alice: The city of Xianyang is in China.,1,Xianyang,China,China,True,False,True
Alice: The city of Weihai is in China.,1,Weihai,China,China,True,False,True
Alice: The city of Bengbu is in China.,1,Bengbu,China,China,True,False,True
Alice: The city of Bengbu is in India.,0,Bengbu,India,China,True,False,True
Alice: The city of Mississauga is in India.,0,Mississauga,India,Canada,True,False,True
Alice: The city of Yerevan is in Armenia.,1,Yerevan,Armenia,Armenia,True,False,True
Alice: The city of Albuquerque is in the United States.,1,Albuquerque,the United States,the United States,True,False,True
Alice: The city of Albuquerque is in Egypt.,0,Albuquerque,Egypt,the United States,True,False,True
Alice: The city of Calgary is in India.,0,Calgary,India,Canada,True,False,True
Alice: The city of Bobo-Dioulasso is in China.,0,Bobo-Dioulasso,China,Burkina Faso,True,False,True
Alice: The city of Florianopolis is in Brazil.,1,Florianopolis,Brazil,Brazil,True,False,True
Alice: The city of Cuiaba is in Brazil.,1,Cuiaba,Brazil,Brazil,True,False,True
Alice: The city of Chattogram is in China.,0,Chattogram,China,Bangladesh,True,False,True
Alice: The city of Nanjing is in China.,1,Nanjing,China,China,True,False,True
Alice: The city of Heze is in China.,1,Heze,China,China,True,False,True
Alice: The city of Jeonju is in South Korea.,1,Jeonju,South Korea,South Korea,True,False,True
Alice: The city of Almaty is in Kazakhstan.,1,Almaty,Kazakhstan,Kazakhstan,True,False,True
Alice: The city of Almaty is in Iraq.,0,Almaty,Iraq,Kazakhstan,True,False,True
Alice: The city of Pimpri is in China.,0,Pimpri,China,India,True,False,True
Alice: The city of Navi Mumbai is in India.,1,Navi Mumbai,India,India,True,False,True
Alice: The city of Navi Mumbai is in China.,0,Navi Mumbai,China,India,True,False,True
Alice: The city of Novosibirsk is in the Philippines.,0,Novosibirsk,the Philippines,Russia,True,False,True
Alice: The city of Goeteborg is in South Korea.,0,Goeteborg,South Korea,Sweden,True,False,True
Alice: The city of Bursa is in Turkey.,1,Bursa,Turkey,Turkey,True,False,True
Alice: The city of Dar es Salaam is in Tanzania.,1,Dar es Salaam,Tanzania,Tanzania,True,False,True
Alice: The city of Dar es Salaam is in Italy.,0,Dar es Salaam,Italy,Tanzania,True,False,True
Alice: The city of Mbuji-Mayi is in Pakistan.,0,Mbuji-Mayi,Pakistan,the Democratic Republic of the Congo,True,False,True
Alice: The city of Goiania is in China.,0,Goiania,China,Brazil,True,False,True
Alice: The city of Kigali is in Indonesia.,0,Kigali,Indonesia,Rwanda,True,False,True
Alice: The city of Diyarbakir is in Turkey.,1,Diyarbakir,Turkey,Turkey,True,False,True
Alice: The city of Tyumen is in Russia.,1,Tyumen,Russia,Russia,True,False,True
Alice: The city of Tyumen is in Mexico.,0,Tyumen,Mexico,Russia,True,False,True
Alice: The city of Orenburg is in Malaysia.,0,Orenburg,Malaysia,Russia,True,False,True
Alice: The city of Osaka is in Japan.,1,Osaka,Japan,Japan,True,False,True
Alice: The city of Osaka is in India.,0,Osaka,India,Japan,True,False,True
Alice: The city of Sapporo is in Japan.,1,Sapporo,Japan,Japan,True,False,True
Alice: The city of Cheonan is in South Korea.,1,Cheonan,South Korea,South Korea,True,False,True
Alice: The city of Cheonan is in Myanmar.,0,Cheonan,Myanmar,South Korea,True,False,True
Alice: The city of Culiacan is in Mexico.,1,Culiacan,Mexico,Mexico,True,False,True
Alice: The city of General Santos is in the Philippines.,1,General Santos,the Philippines,the Philippines,True,False,True
Alice: The city of Ebute Ikorodu is in Nigeria.,1,Ebute Ikorodu,Nigeria,Nigeria,True,False,True
Alice: The city of Ebute Ikorodu is in China.,0,Ebute Ikorodu,China,Nigeria,True,False,True
Alice: The city of Benin City is in Nigeria.,1,Benin City,Nigeria,Nigeria,True,False,True
Alice: The city of Kanpur is in Brazil.,0,Kanpur,Brazil,India,True,False,True
Alice: The city of Indore is in India.,1,Indore,India,India,True,False,True
Alice: The city of Indore is in Turkey.,0,Indore,Turkey,India,True,False,True
Alice: The city of Zunyi is in Senegal.,0,Zunyi,Senegal,China,True,False,True
Alice: The city of Wenzhou is in China.,1,Wenzhou,China,China,True,False,True
Alice: The city of Luohe is in Brazil.,0,Luohe,Brazil,China,True,False,True
Alice: The city of Cixi is in China.,1,Cixi,China,China,True,False,True
Alice: The city of Hanzhong is in China.,1,Hanzhong,China,China,True,False,True
Alice: The city of Hanzhong is in Iran.,0,Hanzhong,Iran,China,True,False,True
Alice: The city of Guangzhou is in China.,1,Guangzhou,China,China,True,False,True
Alice: The city of Guangzhou is in India.,0,Guangzhou,India,China,True,False,True
Alice: The city of Douala is in Cameroon.,1,Douala,Cameroon,Cameroon,True,False,True
Alice: The city of Zibo is in India.,0,Zibo,India,China,True,False,True
Alice: The city of Tianshui is in Canada.,0,Tianshui,Canada,China,True,False,True
Alice: The city of Laibin is in China.,1,Laibin,China,China,True,False,True
Alice: The city of Deyang is in Japan.,0,Deyang,Japan,China,True,False,True
Alice: The city of Teresina is in Vietnam.,0,Teresina,Vietnam,Brazil,True,False,True
Alice: The city of Leipzig is in Germany.,1,Leipzig,Germany,Germany,True,False,True
Alice: The city of Leipzig is in Russia.,0,Leipzig,Russia,Germany,True,False,True
Alice: The city of Hannover is in China.,0,Hannover,China,Germany,True,False,True
Alice: The city of Penza is in Russia.,1,Penza,Russia,Russia,True,False,True
Alice: The city of Penza is in China.,0,Penza,China,Russia,True,False,True
Alice: The city of Matola is in Mozambique.,1,Matola,Mozambique,Mozambique,True,False,True
Alice: The city of Shizuoka is in China.,0,Shizuoka,China,Japan,True,False,True
Alice: The city of Himeji is in the Democratic Republic of the Congo.,0,Himeji,the Democratic Republic of the Congo,Japan,True,False,True
Alice: The city of Seoul is in Nicaragua.,0,Seoul,Nicaragua,South Korea,True,False,True
Alice: The city of Meerut is in India.,1,Meerut,India,India,True,False,True
Alice: The city of Hubli is in India.,1,Hubli,India,India,True,False,True
Alice: The city of Dubai is in the United Arab Emirates.,1,Dubai,the United Arab Emirates,the United Arab Emirates,True,False,True
Alice: The city of Aleppo is in China.,0,Aleppo,China,Syria,True,False,True
Alice: The city of Ar Raqqah is in Syria.,1,Ar Raqqah,Syria,Syria,True,False,True
Alice: The city of Ar Raqqah is in Iraq.,0,Ar Raqqah,Iraq,Syria,True,False,True
Alice: The city of Saint Petersburg is in Canada.,0,Saint Petersburg,Canada,Russia,True,False,True
Alice: The city of Johannesburg is in South Africa.,1,Johannesburg,South Africa,South Africa,True,False,True
Alice: The city of Wanzhou is in India.,0,Wanzhou,India,China,True,False,True
Alice: The city of Anyang is in Kuwait.,0,Anyang,Kuwait,China,True,False,True
Alice: The city of Meizhou is in China.,1,Meizhou,China,China,True,False,True
Alice: The city of Yangjiang is in China.,1,Yangjiang,China,China,True,False,True
Alice: The city of Beijing is in China.,1,Beijing,China,China,True,False,True
Alice: The city of Beijing is in Ghana.,0,Beijing,Ghana,China,True,False,True
Alice: The city of Shah Alam is in Malaysia.,1,Shah Alam,Malaysia,Malaysia,True,False,True
