statement,label
The Spanish word 'pasar' means 'to pass'.,1
The Spanish word 'rey' means 'king'.,1
The Spanish word 'multiplicar' means 'to multiply'.,1
The Spanish word 'nada' means 'nothing'.,1
The Spanish word 'rueda' means 'sister'.,0
The Spanish word 'fuerza' means 'force'.,1
The Spanish word 'azul' means 'eye'.,0
The Spanish word 'decidir' means 'to give'.,0
The Spanish word 'luna' means 'letter'.,0
The Spanish word 'isla' means 'island'.,1
The Spanish word 'pie' means 'lake'.,0
The Spanish word 'sistema' means 'nature'.,0
The Spanish word 'ocupado' means 'busy'.,1
The Spanish word 'prueba' means 'test'.,1
The Spanish word 'barco' means 'hello'.,0
The Spanish word 'oro' means 'story'.,0
The Spanish word 'seco' means 'book'.,0
The Spanish word 'maravilla' means 'bell'.,0
The Spanish word 'mil' means 'to eat'.,0
The Spanish word 'caliente' means 'iron'.,0
The Spanish word 'calor' means 'dry'.,0
The Spanish word 'pintar' means 'mouth'.,0
The Spanish word 'idioma' means 'moment'.,0
The Spanish word 'potencia' means 'power'.,1
The Spanish word 'volar' means 'to hear'.,0
The Spanish word 'caer' means 'to fall'.,1
The Spanish word 'oscuro' means 'dark'.,1
The Spanish word 'estrella' means 'star'.,1
The Spanish word 'belleza' means 'beauty'.,1
The Spanish word 'semana' means 'face'.,0
The Spanish word 'desarrollar' means 'to develop'.,1
The Spanish word 'libre' means 'free'.,1
The Spanish word 'fuerte' means 'dress'.,0
The Spanish word 'especial' means 'strong'.,0
The Spanish word 'cola' means 'name'.,0
The Spanish word 'espacio' means 'to measure'.,0
The Spanish word 'cinco' means 'five'.,1
The Spanish word 'temprano' means 'early'.,1
The Spanish word 'oeste' means 'moment'.,0
The Spanish word 'suelo' means 'ground'.,1
The Spanish word 'cantar' means 'simple'.,0
The Spanish word 'seis' means 'to find'.,0
The Spanish word 'diez' means 'ten'.,1
The Spanish word 'sencilla' means 'simple'.,1
The Spanish word 'guerra' means 'example'.,0
The Spanish word 'lento' means 'slow'.,1
The Spanish word 'amar' means 'teeth'.,0
The Spanish word 'dinero' means 'mouth'.,0
The Spanish word 'mapa' means 'map'.,1
The Spanish word 'gobernar' means 'to eat'.,0
The Spanish word 'voz' means 'voice'.,1
The Spanish word 'hermano' means 'silver'.,0
The Spanish word 'huevo' means 'egg'.,1
The Spanish word 'creer' means 'to fly'.,0
The Spanish word 'hablar' means 'to speak'.,1
The Spanish word 'hielo' means 'ice'.,1
The Spanish word 'ola' means 'wave'.,1
The Spanish word 'presente' means 'present'.,1
The Spanish word 'brazo' means 'arm'.,1
The Spanish word 'bosque' means 'forest'.,1
The Spanish word 'ventana' means 'half'.,0
The Spanish word 'tienda' means 'insect'.,0
The Spanish word 'verano' means 'to push'.,0
The Spanish word 'tren' means 'train'.,1
The Spanish word 'pierna' means 'leg'.,1
The Spanish word 'cielo' means 'old'.,0
The Spanish word 'invierno' means 'winter'.,1
The Spanish word 'vidrio' means 'to hear'.,0
The Spanish word 'vaca' means 'cow'.,1
The Spanish word 'suave' means 'skin'.,0
The Spanish word 'mes' means 'month'.,1
The Spanish word 'feliz' means 'second'.,0
The Spanish word 'esperanza' means 'hope'.,1
The Spanish word 'flor' means 'market'.,0
The Spanish word 'viaje' means 'system'.,0
The Spanish word 'oficina' means 'direct'.,0
The Spanish word 'recibir' means 'time'.,0
The Spanish word 'boca' means 'mouth'.,1
The Spanish word 'morir' means 'to die'.,1
The Spanish word 'semilla' means 'seed'.,1
The Spanish word 'aceite' means 'oil'.,1
The Spanish word 'sangre' means 'sun'.,0
The Spanish word 'mezclar' means 'to mix'.,1
The Spanish word 'perdido' means 'test'.,0
The Spanish word 'igual' means 'to imagine'.,0
The Spanish word 'elegir' means 'to choose'.,1
The Spanish word 'guardar' means 'to save'.,1
The Spanish word 'matar' means 'bread'.,0
The Spanish word 'hijo' means 'son'.,1
The Spanish word 'lago' means 'month'.,0
The Spanish word 'momento' means 'moment'.,1
The Spanish word 'primavera' means 'wave'.,0
The Spanish word 'diccionario' means 'dictionary'.,1
The Spanish word 'leche' means 'glass'.,0
The Spanish word 'pagar' means 'to pay'.,1
The Spanish word 'edad' means 'clock'.,0
The Spanish word 'vestido' means 'example'.,0
The Spanish word 'nube' means 'to write'.,0
The Spanish word 'piedra' means 'stone'.,1
The Spanish word 'experimento' means 'dark'.,0
The Spanish word 'clave' means 'rose'.,0
The Spanish word 'hierro' means 'iron'.,1
The Spanish word 'veinte' means 'twenty'.,1
The Spanish word 'piel' means 'skin'.,1
The Spanish word 'sonrisa' means 'smile'.,1
The Spanish word 'ocho' means 'too'.,0
The Spanish word 'comprar' means 'dry'.,0
The Spanish word 'empujar' means 'to govern'.,0
The Spanish word 'siete' means 'seven'.,1
The Spanish word 'tercero' means 'third'.,1
The Spanish word 'describir' means 'to die'.,0
The Spanish word 'cocinero' means 'cook'.,1
The Spanish word 'piso' means 'set'.,0
The Spanish word 'resultado' means 'result'.,1
The Spanish word 'quemar' means 'hot'.,0
The Spanish word 'seguro' means 'danger'.,0
The Spanish word 'gato' means 'cat'.,1
The Spanish word 'siglo' means 'large'.,0
The Spanish word 'ley' means 'dog'.,0
The Spanish word 'frase' means 'paper'.,0
The Spanish word 'arena' means 'sand'.,1
The Spanish word 'temperatura' means 'hand'.,0
The Spanish word 'dedo' means 'finger'.,1
The Spanish word 'industria' means 'industry'.,1
The Spanish word 'luchar' means 'heat'.,0
The Spanish word 'silla' means 'neighbor'.,0
The Spanish word 'peligro' means 'danger'.,1
The Spanish word 'fruta' means 'goat'.,0
The Spanish word 'soldado' means 'soldier'.,1
The Spanish word 'proteger' means 'dry'.,0
The Spanish word 'moderno' means 'modern'.,1
The Spanish word 'estudiante' means 'student'.,1
The Spanish word 'esquina' means 'corner'.,1
The Spanish word 'anillo' means 'to love'.,0
The Spanish word 'insecto' means 'then'.,0
The Spanish word 'historia' means 'history'.,1
The Spanish word 'hueso' means 'bone'.,1
The Spanish word 'imaginar' means 'to imagine'.,1
The Spanish word 'mujer' means 'woman'.,1
The Spanish word 'adivinar' means 'war'.,0
The Spanish word 'agudo' means 'sharp'.,1
The Spanish word 'ala' means 'wing'.,1
The Spanish word 'vecino' means 'neighbor'.,1
The Spanish word 'poema' means 'to win'.,0
The Spanish word 'campana' means 'to connect'.,0
The Spanish word 'carne' means 'meat'.,1
The Spanish word 'famoso' means 'to believe'.,0
The Spanish word 'miedo' means 'fear'.,1
The Spanish word 'delgado' means 'thin'.,1
The Spanish word 'reloj' means 'clock'.,1
The Spanish word 'enviar' means 'to send'.,1
The Spanish word 'amarillo' means 'land'.,0
The Spanish word 'rosa' means 'rose'.,1
The Spanish word 'llegar' means 'insect'.,0
The Spanish word 'conectar' means 'to connect'.,1
The Spanish word 'grasa' means 'new'.,0
The Spanish word 'pan' means 'eye'.,0
The Spanish word 'oferta' means 'offer'.,1
The Spanish word 'esclavo' means 'slave'.,1
The Spanish word 'pato' means 'wolf'.,0
The Spanish word 'mercado' means 'market'.,1
The Spanish word 'enemigo' means 'enemy'.,1
The Spanish word 'bebida' means 'train'.,0
The Spanish word 'naturaleza' means 'to buy'.,0
The Spanish word 'dientes' means 'hope'.,0
The Spanish word 'concha' means 'shell'.,1
The Spanish word 'cuello' means 'neck'.,1
The Spanish word 'temporada' means 'insect'.,0
The Spanish word 'plata' means 'silver'.,1
The Spanish word 'rama' means 'back'.,0
The Spanish word 'higo' means 'fig'.,1
The Spanish word 'hermana' means 'sister'.,1
The Spanish word 'guiar' means 'age'.,0
The Spanish word 'manzana' means 'hand'.,0
The Spanish word 'abrigo' means 'coat'.,1
The Spanish word 'tarjeta' means 'bear'.,0
The Spanish word 'ganar' means 'to use'.,0
The Spanish word 'herramienta' means 'tool'.,1
The Spanish word 'olor' means 'smell'.,1
The Spanish word 'valle' means 'face'.,0
The Spanish word 'continuar' means 'coat'.,0
The Spanish word 'vender' means 'to sell'.,1
The Spanish word 'nadar' means 'to swim'.,1
The Spanish word 'opuesta' means 'dress'.,0
The Spanish word 'esposa' means 'wife'.,1
The Spanish word 'hombro' means 'shoulder'.,1
The Spanish word 'nueve' means 'stone'.,0
The Spanish word 'ruido' means 'noise'.,1
The Spanish word 'lanzar' means 'to throw'.,1
The Spanish word 'gris' means 'history'.,0
The Spanish word 'sal' means 'horse'.,0
The Spanish word 'nariz' means 'giraffe'.,0
The Spanish word 'burro' means 'donkey'.,1
The Spanish word 'cabra' means 'money'.,0
The Spanish word 'cordero' means 'fat'.,0
The Spanish word 'caballo' means 'horse'.,1
The Spanish word 'cerdo' means 'wave'.,0
The Spanish word 'oveja' means 'sheep'.,1
The Spanish word 'pato' means 'shoulder'.,0
The Spanish word 'toro' means 'bull'.,1
The Spanish word 'vaca' means 'cow'.,1
The Spanish word 'conejo' means 'rabbit'.,1
The Spanish word 'gato' means 'large'.,0
The Spanish word 'perro' means 'dog'.,1
The Spanish word 'rana' means 'frog'.,1
The Spanish word 'anguila' means 'south'.,0
The Spanish word 'ballena' means 'whale'.,1
The Spanish word 'calamar' means 'squid'.,1
The Spanish word 'pulpo' means 'slow'.,0
The Spanish word 'lobo' means 'leg'.,0
The Spanish word 'oso' means 'bear'.,1
The Spanish word 'zorro' means 'shell'.,0
The Spanish word 'mariposa' means 'rose'.,0
The Spanish word 'tortuga' means 'dry'.,0
The Spanish word 'cebra' means 'to imagine'.,0
The Spanish word 'elefante' means 'spring'.,0
The Spanish word 'jirafa' means 'giraffe'.,1
The Spanish word 'tigre' means 'cow'.,0
The Spanish word 'hola' means 'hello'.,1
The Spanish word 'nuevo' means 'new'.,1
