statement,label,relation,subject,target,true_target
The headquarter of Majorette is located in Lyon.,1,The headquarter of {} is located in,Majorette,Lyon,Lyon
The headquarter of Majorette is located in London.,0,The headquarter of {} is located in,Majorette,London,Lyon
Laurent Cars was employed in Paris.,1,{} was employed in,Laurent Cars,Paris,Paris
Laurent Cars was employed in Philadelphia.,0,{} was employed in,Laurent Cars,Philadelphia,Paris
The native language of Symeon of Polotsk is Russian.,1,The native language of {} is,Symeon of Polotsk,Russian,Russian
The native language of Symeon of Polotsk is French.,0,The native language of {} is,Symeon of Polotsk,French,Russian
Jeep Commander is produced by Jeep.,1,{} is produced by,Jeep Commander,Jeep,Jeep
Jeep Commander is produced by Fiat.,0,{} is produced by,Jeep Commander,Fiat,Jeep
The Loner was released on CBS.,1,{} was released on,The Loner,CBS,CBS
The Loner was released on HBO.,0,{} was released on,The Loner,HBO,CBS
Kharkiv is a twin city of Warsaw.,1,{} is a twin city of,Kharkiv,Warsaw,Warsaw
Kharkiv is a twin city of Athens.,0,{} is a twin city of,Kharkiv,Athens,Warsaw
Mahmoud Fawzi has a citizenship from Egypt.,1,{} has a citizenship from,Mahmoud Fawzi,Egypt,Egypt
Mahmoud Fawzi has a citizenship from Germany.,0,{} has a citizenship from,Mahmoud Fawzi,Germany,Egypt
The profession of Arun Nehru is politician.,1,The profession of {} is,Arun Nehru,politician,politician
The profession of Arun Nehru is actor.,0,The profession of {} is,Arun Nehru,actor,politician
Howard Glacier is located in Antarctica.,1,{} is located in,Howard Glacier,Antarctica,Antarctica
Howard Glacier is located in Europe.,0,{} is located in,Howard Glacier,Europe,Antarctica
The language used by Gilad Atzmon is Hebrew.,1,The language used by {} is,Gilad Atzmon,Hebrew,Hebrew
The language used by Gilad Atzmon is Italian.,0,The language used by {} is,Gilad Atzmon,Italian,Hebrew
Emilio Lussu speaks Italian.,1,{} speaks,Emilio Lussu,Italian,Italian
Emilio Lussu speaks French.,0,{} speaks,Emilio Lussu,French,Italian
Maso da San Friano passed away at Florence.,1,{} passed away at,Maso da San Friano,Florence,Florence
Maso da San Friano passed away at Vienna.,0,{} passed away at,Maso da San Friano,Vienna,Florence
The language used by Jean-Baptiste Marchand is French.,1,The language used by {} is,Jean-Baptiste Marchand,French,French
The language used by Jean-Baptiste Marchand is German.,0,The language used by {} is,Jean-Baptiste Marchand,German,French
Nissan Laurel is created by Nissan.,1,{} is created by,Nissan Laurel,Nissan,Nissan
Nissan Laurel is created by Honda.,0,{} is created by,Nissan Laurel,Honda,Nissan
Webley & Scott was started in Birmingham.,1,{} was started in,Webley & Scott,Birmingham,Birmingham
Webley & Scott was started in Wales.,0,{} was started in,Webley & Scott,Wales,Birmingham
Prydz Bay is located in Antarctica.,1,{} is located in,Prydz Bay,Antarctica,Antarctica
Prydz Bay is located in Africa.,0,{} is located in,Prydz Bay,Africa,Antarctica
The mother tongue of Jean Galland is French.,1,The mother tongue of {} is,Jean Galland,French,French
The mother tongue of Jean Galland is Russian.,0,The mother tongue of {} is,Jean Galland,Russian,French
Tapio Kantanen is a citizen of Finland.,1,{} is a citizen of,Tapio Kantanen,Finland,Finland
Tapio Kantanen is a citizen of Bulgaria.,0,{} is a citizen of,Tapio Kantanen,Bulgaria,Finland
John James Rickard Macleod's domain of work is physiology.,1,{}'s domain of work is,John James Rickard Macleod,physiology,physiology
John James Rickard Macleod's domain of work is psychology.,0,{}'s domain of work is,John James Rickard Macleod,psychology,physiology
Gilles Grimandi was born in Gap.,1,{} was born in,Gilles Grimandi,Gap,Gap
Gilles Grimandi was born in Montgomery.,0,{} was born in,Gilles Grimandi,Montgomery,Gap
"In Northwest Territories, an official language is English.",1,"In {}, an official language is",Northwest Territories,English,English
"In Northwest Territories, an official language is Tamil.",0,"In {}, an official language is",Northwest Territories,Tamil,English
Eli Maor is originally from Israel.,1,{} is originally from,Eli Maor,Israel,Israel
Eli Maor is originally from Portsmouth.,0,{} is originally from,Eli Maor,Portsmouth,Israel
Carol Zhao is a citizen of Canada.,1,{} is a citizen of,Carol Zhao,Canada,Canada
Carol Zhao is a citizen of Japan.,0,{} is a citizen of,Carol Zhao,Japan,Canada
Henry Mackenzie originates from Edinburgh.,1,{} originates from,Henry Mackenzie,Edinburgh,Edinburgh
Henry Mackenzie originates from Honolulu.,0,{} originates from,Henry Mackenzie,Honolulu,Edinburgh
Centocelle Airport is named for Rome.,1,{} is named for,Centocelle Airport,Rome,Rome
Centocelle Airport is named for Milan.,0,{} is named for,Centocelle Airport,Milan,Rome
James Hardiman speaks English.,1,{} speaks,James Hardiman,English,English
James Hardiman speaks Italian.,0,{} speaks,James Hardiman,Italian,English
Gregg Edelman works as actor.,1,{} works as,Gregg Edelman,actor,actor
Gregg Edelman works as prophet.,0,{} works as,Gregg Edelman,prophet,actor
Mayer Carl von Rothschild found employment in Frankfurt.,1,{} found employment in,Mayer Carl von Rothschild,Frankfurt,Frankfurt
Mayer Carl von Rothschild found employment in London.,0,{} found employment in,Mayer Carl von Rothschild,London,Frankfurt
"In Nykarleby, the language spoken is Swedish.",1,"In {}, the language spoken is",Nykarleby,Swedish,Swedish
"In Nykarleby, the language spoken is Spanish.",0,"In {}, the language spoken is",Nykarleby,Spanish,Swedish
Ryan Archibald is native to Auckland.,1,{} is native to,Ryan Archibald,Auckland,Auckland
Ryan Archibald is native to Plymouth.,0,{} is native to,Ryan Archibald,Plymouth,Auckland
Dateline NBC premiered on NBC.,1,{} premiered on,Dateline NBC,NBC,NBC
Dateline NBC premiered on PBS.,0,{} premiered on,Dateline NBC,PBS,NBC
The twin city of Beirut is Istanbul.,1,The twin city of {} is,Beirut,Istanbul,Istanbul
The twin city of Beirut is Florence.,0,The twin city of {} is,Beirut,Florence,Istanbul
San Marino Football Federation is a part of the FIFA.,1,{} is a part of the,San Marino Football Federation,FIFA,FIFA
San Marino Football Federation is a part of the Hamas.,0,{} is a part of the,San Marino Football Federation,Hamas,FIFA
Cao Yunding was native to Shanghai.,1,{} was native to,Cao Yunding,Shanghai,Shanghai
Cao Yunding was native to Dublin.,0,{} was native to,Cao Yunding,Dublin,Shanghai
Lee Alvin DuBridge's area of work is physics.,1,{}'s area of work is,Lee Alvin DuBridge,physics,physics
Lee Alvin DuBridge's area of work is diplomat.,0,{}'s area of work is,Lee Alvin DuBridge,diplomat,physics
Ennio Antonelli holds the title of cardinal.,1,{} holds the title of,Ennio Antonelli,cardinal,cardinal
Ennio Antonelli holds the title of bishop.,0,{} holds the title of,Ennio Antonelli,bishop,cardinal
The native language of Tanya Lopert is French.,1,The native language of {} is,Tanya Lopert,French,French
The native language of Tanya Lopert is Dutch.,0,The native language of {} is,Tanya Lopert,Dutch,French
"Nancy Astor, Viscountess Astor was employed in London.",1,{} was employed in,"Nancy Astor, Viscountess Astor",London,London
"Nancy Astor, Viscountess Astor was employed in Paris.",0,{} was employed in,"Nancy Astor, Viscountess Astor",Paris,London
Windows Embedded CE 6.0 is a product of Microsoft.,1,{} is a product of,Windows Embedded CE 6.0,Microsoft,Microsoft
Windows Embedded CE 6.0 is a product of IBM.,0,{} is a product of,Windows Embedded CE 6.0,IBM,Microsoft
"George Goring, Lord Goring speaks the language English.",1,{} speaks the language,"George Goring, Lord Goring",English,English
"George Goring, Lord Goring speaks the language Italian.",0,{} speaks the language,"George Goring, Lord Goring",Italian,English
Roberto Clemente plays baseball.,1,{} plays,Roberto Clemente,baseball,baseball
Roberto Clemente plays football.,0,{} plays,Roberto Clemente,football,baseball
Fedele Fischetti died in the city of Naples.,1,{} died in the city of,Fedele Fischetti,Naples,Naples
Fedele Fischetti died in the city of Paris.,0,{} died in the city of,Fedele Fischetti,Paris,Naples
Running Mates debuted on TNT.,1,{} debuted on,Running Mates,TNT,TNT
Running Mates debuted on CBS.,0,{} debuted on,Running Mates,CBS,TNT
George V Coast is a part of the continent of Antarctica.,1,{} is a part of the continent of,George V Coast,Antarctica,Antarctica
George V Coast is a part of the continent of Africa.,0,{} is a part of the continent of,George V Coast,Africa,Antarctica
Gabbro Hills is in Antarctica.,1,{} is in,Gabbro Hills,Antarctica,Antarctica
Gabbro Hills is in Asia.,0,{} is in,Gabbro Hills,Asia,Antarctica
Carlos Valderrama professionally plays the sport soccer.,1,{} professionally plays the sport,Carlos Valderrama,soccer,soccer
Carlos Valderrama professionally plays the sport basketball.,0,{} professionally plays the sport,Carlos Valderrama,basketball,soccer
Stefanos Stratigos is a native speaker of Greek.,1,{} is a native speaker of,Stefanos Stratigos,Greek,Greek
Stefanos Stratigos is a native speaker of Dutch.,0,{} is a native speaker of,Stefanos Stratigos,Dutch,Greek
Gilli Smyth belongs to the organization of Gong.,1,{} belongs to the organization of,Gilli Smyth,Gong,Gong
Gilli Smyth belongs to the organization of FIFA.,0,{} belongs to the organization of,Gilli Smyth,FIFA,Gong
Charles IV of Spain's life ended in Rome.,1,{}'s life ended in,Charles IV of Spain,Rome,Rome
Charles IV of Spain's life ended in Paris.,0,{}'s life ended in,Charles IV of Spain,Paris,Rome
The language of Zampa is French.,1,The language of {} is,Zampa,French,French
The language of Zampa is Spanish.,0,The language of {} is,Zampa,Spanish,French
The twin city of Rabat is Damascus.,1,The twin city of {} is,Rabat,Damascus,Damascus
The twin city of Rabat is Istanbul.,0,The twin city of {} is,Rabat,Istanbul,Damascus
LeRoy Collins worked in the city of Florida.,1,{} worked in the city of,LeRoy Collins,Florida,Florida
LeRoy Collins worked in the city of Moscow.,0,{} worked in the city of,LeRoy Collins,Moscow,Florida
Pat Scully holds a citizenship from Ireland.,1,{} holds a citizenship from,Pat Scully,Ireland,Ireland
Pat Scully holds a citizenship from Germany.,0,{} holds a citizenship from,Pat Scully,Germany,Ireland
Galata is in Istanbul.,1,{} is in,Galata,Istanbul,Istanbul
Galata is in Naples.,0,{} is in,Galata,Naples,Istanbul
Pantelis Kafes plays in the position of midfielder.,1,{} plays in the position of,Pantelis Kafes,midfielder,midfielder
Pantelis Kafes plays in the position of catcher.,0,{} plays in the position of,Pantelis Kafes,catcher,midfielder
Ipsos MORI's headquarters are in London.,1,{}'s headquarters are in,Ipsos MORI,London,London
Ipsos MORI's headquarters are in Oslo.,0,{}'s headquarters are in,Ipsos MORI,Oslo,London
Mama Corsica was written in French.,1,{} was written in,Mama Corsica,French,French
Mama Corsica was written in Dutch.,0,{} was written in,Mama Corsica,Dutch,French
The official religion of Jahangir is Islam.,1,The official religion of {} is,Jahangir,Islam,Islam
The official religion of Jahangir is Judaism.,0,The official religion of {} is,Jahangir,Judaism,Islam
Renault 8 is produced by Renault.,1,{} is produced by,Renault 8,Renault,Renault
Renault 8 is produced by Fiat.,0,{} is produced by,Renault 8,Fiat,Renault
Muhammad Shah is follower of Islam.,1,{} is follower of,Muhammad Shah,Islam,Islam
Muhammad Shah is follower of Scientology.,0,{} is follower of,Muhammad Shah,Scientology,Islam
Hohenlohe-Langenburg is located in the country of Germany.,1,{} is located in the country of,Hohenlohe-Langenburg,Germany,Germany
Hohenlohe-Langenburg is located in the country of Italy.,0,{} is located in the country of,Hohenlohe-Langenburg,Italy,Germany
Redigo premieres on NBC.,1,{} premieres on,Redigo,NBC,NBC
Redigo premieres on HBO.,0,{} premieres on,Redigo,HBO,NBC
John Henry Poynting's domain of activity is physics.,1,{}'s domain of activity is,John Henry Poynting,physics,physics
John Henry Poynting's domain of activity is mathematics.,0,{}'s domain of activity is,John Henry Poynting,mathematics,physics
Ruud Gullit plays in the position of midfielder.,1,{} plays in the position of,Ruud Gullit,midfielder,midfielder
Ruud Gullit plays in the position of linebacker.,0,{} plays in the position of,Ruud Gullit,linebacker,midfielder
Shablykinsky District is located in the country of Russia.,1,{} is located in the country of,Shablykinsky District,Russia,Russia
Shablykinsky District is located in the country of Belarus.,0,{} is located in the country of,Shablykinsky District,Belarus,Russia
La Bouche originated in Frankfurt.,1,{} originated in,La Bouche,Frankfurt,Frankfurt
La Bouche originated in California.,0,{} originated in,La Bouche,California,Frankfurt
Gwen Stefani is a native speaker of English.,1,{} is a native speaker of,Gwen Stefani,English,English
Gwen Stefani is a native speaker of French.,0,{} is a native speaker of,Gwen Stefani,French,English
Tom Fletcher plays the instrument guitar.,1,{} plays the instrument,Tom Fletcher,guitar,guitar
Tom Fletcher plays the instrument trumpet.,0,{} plays the instrument,Tom Fletcher,trumpet,guitar
Football Association of Malaysia is affiliated with the FIFA.,1,{} is affiliated with the,Football Association of Malaysia,FIFA,FIFA
Football Association of Malaysia is affiliated with the Avengers.,0,{} is affiliated with the,Football Association of Malaysia,Avengers,FIFA
The original language of Thoranai is Tamil.,1,The original language of {} is,Thoranai,Tamil,Tamil
The original language of Thoranai is English.,0,The original language of {} is,Thoranai,English,Tamil
The official religion of Uwais Qarni is Islam.,1,The official religion of {} is,Uwais Qarni,Islam,Islam
The official religion of Uwais Qarni is Buddhism.,0,The official religion of {} is,Uwais Qarni,Buddhism,Islam
1300 Oslo was formed in Oslo.,1,{} was formed in,1300 Oslo,Oslo,Oslo
1300 Oslo was formed in Miami.,0,{} was formed in,1300 Oslo,Miami,Oslo
Rutgers Glacier is in Antarctica.,1,{} is in,Rutgers Glacier,Antarctica,Antarctica
Rutgers Glacier is in Africa.,0,{} is in,Rutgers Glacier,Africa,Antarctica
Lars Ricken plays in the position of midfielder.,1,{} plays in the position of,Lars Ricken,midfielder,midfielder
Lars Ricken plays in the position of pitcher.,0,{} plays in the position of,Lars Ricken,pitcher,midfielder
Manila Light Rail Transit System is located in the country of Philippines.,1,{} is located in the country of,Manila Light Rail Transit System,Philippines,Philippines
Manila Light Rail Transit System is located in the country of Ukraine.,0,{} is located in the country of,Manila Light Rail Transit System,Ukraine,Philippines
Tuukka Rask plays as goaltender.,1,{} plays as,Tuukka Rask,goaltender,goaltender
Tuukka Rask plays as midfielder.,0,{} plays as,Tuukka Rask,midfielder,goaltender
Luana Walters's profession is an actor.,1,{}'s profession is an,Luana Walters,actor,actor
Luana Walters's profession is an politician.,0,{}'s profession is an,Luana Walters,politician,actor
Ostankinsky District is within Moscow.,1,{} is within,Ostankinsky District,Moscow,Moscow
Ostankinsky District is within Leeds.,0,{} is within,Ostankinsky District,Leeds,Moscow
Charles Caruana holds the position of bishop.,1,{} holds the position of,Charles Caruana,bishop,bishop
Charles Caruana holds the position of mayor.,0,{} holds the position of,Charles Caruana,mayor,bishop
Joseph Wostinholm died at Sheffield.,1,{} died at,Joseph Wostinholm,Sheffield,Sheffield
Joseph Wostinholm died at Hamburg.,0,{} died at,Joseph Wostinholm,Hamburg,Sheffield
Yi-Fu Tuan's expertise is geography.,1,{}'s expertise is,Yi-Fu Tuan,geography,geography
Yi-Fu Tuan's expertise is singing.,0,{}'s expertise is,Yi-Fu Tuan,singing,geography
Typical Cats formed in Chicago.,1,{} formed in,Typical Cats,Chicago,Chicago
Typical Cats formed in Montreal.,0,{} formed in,Typical Cats,Montreal,Chicago
The expertise of Domingo de Soto is theology.,1,The expertise of {} is,Domingo de Soto,theology,theology
The expertise of Domingo de Soto is economics.,0,The expertise of {} is,Domingo de Soto,economics,theology
Yamaha TZR250 is developed by Yamaha.,1,{} is developed by,Yamaha TZR250,Yamaha,Yamaha
Yamaha TZR250 is developed by Toyota.,0,{} is developed by,Yamaha TZR250,Toyota,Yamaha
Honda Insight is produced by Honda.,1,{} is produced by,Honda Insight,Honda,Honda
Honda Insight is produced by Suzuki.,0,{} is produced by,Honda Insight,Suzuki,Honda
The language of El Correo is Spanish.,1,The language of {} is,El Correo,Spanish,Spanish
The language of El Correo is English.,0,The language of {} is,El Correo,English,Spanish
"The language of Du gamla, du fria was Swedish.",1,The language of {} was,"Du gamla, du fria",Swedish,Swedish
"The language of Du gamla, du fria was Finnish.",0,The language of {} was,"Du gamla, du fria",Finnish,Swedish
The original language of Delusions of Grandeur is French.,1,The original language of {} is,Delusions of Grandeur,French,French
The original language of Delusions of Grandeur is English.,0,The original language of {} is,Delusions of Grandeur,English,French
The law in Gibraltar declares the language English.,1,The law in {} declares the language,Gibraltar,English,English
The law in Gibraltar declares the language Finnish.,0,The law in {} declares the language,Gibraltar,Finnish,English
Falling Down was from France.,1,{} was from,Falling Down,France,France
Falling Down was from Philippines.,0,{} was from,Falling Down,Philippines,France
2010 Winter Paralympics can be found in Vancouver.,1,{} can be found in,2010 Winter Paralympics,Vancouver,Vancouver
2010 Winter Paralympics can be found in Berlin.,0,{} can be found in,2010 Winter Paralympics,Berlin,Vancouver
The Yellow Rose was released on NBC.,1,{} was released on,The Yellow Rose,NBC,NBC
The Yellow Rose was released on CBS.,0,{} was released on,The Yellow Rose,CBS,NBC
The headquarter of Newcomen Society is in London.,1,The headquarter of {} is in,Newcomen Society,London,London
The headquarter of Newcomen Society is in Irvine.,0,The headquarter of {} is in,Newcomen Society,Irvine,London
Ozumba is located in the country of Mexico.,1,{} is located in the country of,Ozumba,Mexico,Mexico
Ozumba is located in the country of Russia.,0,{} is located in the country of,Ozumba,Russia,Mexico
The headquarters of Northeastern University is in Boston.,1,The headquarters of {} is in,Northeastern University,Boston,Boston
The headquarters of Northeastern University is in Dublin.,0,The headquarters of {} is in,Northeastern University,Dublin,Boston
The language of Tropical Malady was Thai.,1,The language of {} was,Tropical Malady,Thai,Thai
The language of Tropical Malady was Tamil.,0,The language of {} was,Tropical Malady,Tamil,Thai
Pinhas Hirschprung passed away in Montreal.,1,{} passed away in,Pinhas Hirschprung,Montreal,Montreal
Pinhas Hirschprung passed away in Paris.,0,{} passed away in,Pinhas Hirschprung,Paris,Montreal
Johannesburg is a twin city of London.,1,{} is a twin city of,Johannesburg,London,London
Johannesburg is a twin city of Istanbul.,0,{} is a twin city of,Johannesburg,Istanbul,London
Karl Mecklenburg plays in the position of linebacker.,1,{} plays in the position of,Karl Mecklenburg,linebacker,linebacker
Karl Mecklenburg plays in the position of midfielder.,0,{} plays in the position of,Karl Mecklenburg,midfielder,linebacker
The language of Dehkhoda Dictionary is Persian.,1,The language of {} is,Dehkhoda Dictionary,Persian,Persian
The language of Dehkhoda Dictionary is Russian.,0,The language of {} is,Dehkhoda Dictionary,Russian,Persian
Renault 5 is created by Renault.,1,{} is created by,Renault 5,Renault,Renault
Renault 5 is created by Toyota.,0,{} is created by,Renault 5,Toyota,Renault
The profession of Mary Collinson is actor.,1,The profession of {} is,Mary Collinson,actor,actor
The profession of Mary Collinson is photographer.,0,The profession of {} is,Mary Collinson,photographer,actor
The Million Second Quiz was released on NBC.,1,{} was released on,The Million Second Quiz,NBC,NBC
The Million Second Quiz was released on CBS.,0,{} was released on,The Million Second Quiz,CBS,NBC
The native language of Cees Nooteboom is Dutch.,1,The native language of {} is,Cees Nooteboom,Dutch,Dutch
The native language of Cees Nooteboom is Indonesian.,0,The native language of {} is,Cees Nooteboom,Indonesian,Dutch
The occupation of Patrick Manson is physician.,1,The occupation of {} is,Patrick Manson,physician,physician
The occupation of Patrick Manson is actor.,0,The occupation of {} is,Patrick Manson,actor,physician
Omar Torrijos died in the city of Panama.,1,{} died in the city of,Omar Torrijos,Panama,Panama
Omar Torrijos died in the city of Stockholm.,0,{} died in the city of,Omar Torrijos,Stockholm,Panama
Irakli Alasania has a citizenship from Georgia.,1,{} has a citizenship from,Irakli Alasania,Georgia,Georgia
Irakli Alasania has a citizenship from Hungary.,0,{} has a citizenship from,Irakli Alasania,Hungary,Georgia
Chicago is a twin city of Warsaw.,1,{} is a twin city of,Chicago,Warsaw,Warsaw
Chicago is a twin city of Istanbul.,0,{} is a twin city of,Chicago,Istanbul,Warsaw
Iosif Rotariu plays as midfielder.,1,{} plays as,Iosif Rotariu,midfielder,midfielder
Iosif Rotariu plays as pitcher.,0,{} plays as,Iosif Rotariu,pitcher,midfielder
John Navarre plays in the position of quarterback.,1,{} plays in the position of,John Navarre,quarterback,quarterback
John Navarre plays in the position of linebacker.,0,{} plays in the position of,John Navarre,linebacker,quarterback
Concha Espina passed away at Madrid.,1,{} passed away at,Concha Espina,Madrid,Madrid
Concha Espina passed away at Melbourne.,0,{} passed away at,Concha Espina,Melbourne,Madrid
"In Hyrynsalmi, they understand Finnish.",1,"In {}, they understand",Hyrynsalmi,Finnish,Finnish
"In Hyrynsalmi, they understand Spanish.",0,"In {}, they understand",Hyrynsalmi,Spanish,Finnish
Tullio De Mauro found employment in Rome.,1,{} found employment in,Tullio De Mauro,Rome,Rome
Tullio De Mauro found employment in Vienna.,0,{} found employment in,Tullio De Mauro,Vienna,Rome
The domain of activity of Giovanni Battista Riccioli is astronomy.,1,The domain of activity of {} is,Giovanni Battista Riccioli,astronomy,astronomy
The domain of activity of Giovanni Battista Riccioli is chemistry.,0,The domain of activity of {} is,Giovanni Battista Riccioli,chemistry,astronomy
Thurman Munson plays in the position of catcher.,1,{} plays in the position of,Thurman Munson,catcher,catcher
Thurman Munson plays in the position of quarterback.,0,{} plays in the position of,Thurman Munson,quarterback,catcher
The official language of Timurid Empire is Persian.,1,The official language of {} is,Timurid Empire,Persian,Persian
The official language of Timurid Empire is Portuguese.,0,The official language of {} is,Timurid Empire,Portuguese,Persian
Louis Vola lost their life at Paris.,1,{} lost their life at,Louis Vola,Paris,Paris
Louis Vola lost their life at Istanbul.,0,{} lost their life at,Louis Vola,Istanbul,Paris
The occupation of Shreela Ghosh is actor.,1,The occupation of {} is,Shreela Ghosh,actor,actor
The occupation of Shreela Ghosh is poet.,0,The occupation of {} is,Shreela Ghosh,poet,actor
The location of Hamburg International Film Festival is Hamburg.,1,The location of {} is,Hamburg International Film Festival,Hamburg,Hamburg
The location of Hamburg International Film Festival is Rome.,0,The location of {} is,Hamburg International Film Festival,Rome,Hamburg
Sandy Bridge was a product of Intel.,1,{} was a product of,Sandy Bridge,Intel,Intel
Sandy Bridge was a product of Apple.,0,{} was a product of,Sandy Bridge,Apple,Intel
Le Iene was developed in Italy.,1,{} was developed in,Le Iene,Italy,Italy
Le Iene was developed in Canada.,0,{} was developed in,Le Iene,Canada,Italy
The law in Bahia declares the language Portuguese.,1,The law in {} declares the language,Bahia,Portuguese,Portuguese
The law in Bahia declares the language Finnish.,0,The law in {} declares the language,Bahia,Finnish,Portuguese
Chicago Midway International Airport is named for Chicago.,1,{} is named for,Chicago Midway International Airport,Chicago,Chicago
Chicago Midway International Airport is named for Andrew.,0,{} is named for,Chicago Midway International Airport,Andrew,Chicago
The headquarters of Pappas Restaurants is in Houston.,1,The headquarters of {} is in,Pappas Restaurants,Houston,Houston
The headquarters of Pappas Restaurants is in Franklin.,0,The headquarters of {} is in,Pappas Restaurants,Franklin,Houston
Oslo is a twin city of Copenhagen.,1,{} is a twin city of,Oslo,Copenhagen,Copenhagen
Oslo is a twin city of Tehran.,0,{} is a twin city of,Oslo,Tehran,Copenhagen
Otto Piene belongs to the organization of Zero.,1,{} belongs to the organization of,Otto Piene,Zero,Zero
Otto Piene belongs to the organization of NATO.,0,{} belongs to the organization of,Otto Piene,NATO,Zero
The native language of Pierre Messmer is French.,1,The native language of {} is,Pierre Messmer,French,French
The native language of Pierre Messmer is English.,0,The native language of {} is,Pierre Messmer,English,French
The twin city of Bucharest is London.,1,The twin city of {} is,Bucharest,London,London
The twin city of Bucharest is Lyon.,0,The twin city of {} is,Bucharest,Lyon,London
The language of Stylus Magazine was English.,1,The language of {} was,Stylus Magazine,English,English
The language of Stylus Magazine was Chinese.,0,The language of {} was,Stylus Magazine,Chinese,English
The original language of Wild Reeds is French.,1,The original language of {} is,Wild Reeds,French,French
The original language of Wild Reeds is Spanish.,0,The original language of {} is,Wild Reeds,Spanish,French
Thirteen Colonies can be found in England.,1,{} can be found in,Thirteen Colonies,England,England
Thirteen Colonies can be found in Manchester.,0,{} can be found in,Thirteen Colonies,Manchester,England
Mehmed the Conqueror is affiliated with the religion Islam.,1,{} is affiliated with the religion,Mehmed the Conqueror,Islam,Islam
Mehmed the Conqueror is affiliated with the religion Christianity.,0,{} is affiliated with the religion,Mehmed the Conqueror,Christianity,Islam
Llapingacho was from Ecuador.,1,{} was from,Llapingacho,Ecuador,Ecuador
Llapingacho was from France.,0,{} was from,Llapingacho,France,Ecuador
